GeneID,dataset
AT1G01030,GTL1_targets
AT1G01040,GTL1_targets
AT1G01110,GTL1_targets
AT1G01120,GTL1_targets
AT1G01140,GTL1_targets
AT1G01160,GTL1_targets
AT1G01180,GTL1_targets
AT1G01183,GTL1_targets
AT1G01210,GTL1_targets
AT1G01240,GTL1_targets
AT1G01260,GTL1_targets
AT1G01280,GTL1_targets
AT1G01300,GTL1_targets
AT1G01310,GTL1_targets
AT1G01320,GTL1_targets
AT1G01360,GTL1_targets
AT1G01380,GTL1_targets
AT1G01420,GTL1_targets
AT1G01448,GTL1_targets
AT1G01440,GTL1_targets
AT1G01480,GTL1_targets
AT1G01490,GTL1_targets
AT1G01500,GTL1_targets
AT1G01540,GTL1_targets
AT1G01550,GTL1_targets
AT1G01630,GTL1_targets
AT1G01640,GTL1_targets
AT1G01650,GTL1_targets
AT1G01690,GTL1_targets
AT1G01710,GTL1_targets
AT1G01720,GTL1_targets
AT1G01820,GTL1_targets
AT1G01840,GTL1_targets
AT1G02000,GTL1_targets
AT1G02065,GTL1_targets
AT1G02210,GTL1_targets
AT1G02230,GTL1_targets
AT1G02250,GTL1_targets
AT1G02305,GTL1_targets
AT1G02350,GTL1_targets
AT1G02370,GTL1_targets
AT1G02380,GTL1_targets
AT1G02390,GTL1_targets
AT1G02400,GTL1_targets
AT1G02410,GTL1_targets
AT1G02430,GTL1_targets
AT1G02460,GTL1_targets
AT1G02490,GTL1_targets
AT1G02650,GTL1_targets
AT1G02670,GTL1_targets
AT1G02720,GTL1_targets
AT1G02750,GTL1_targets
AT1G02810,GTL1_targets
AT1G02813,GTL1_targets
AT1G02860,GTL1_targets
AT1G02890,GTL1_targets
AT1G02990,GTL1_targets
AT1G03070,GTL1_targets
AT1G03090,GTL1_targets
AT1G03220,GTL1_targets
AT1G03230,GTL1_targets
AT1G03270,GTL1_targets
AT1G03280,GTL1_targets
AT1G03380,GTL1_targets
AT1G03420,GTL1_targets
AT1G03430,GTL1_targets
AT1G03440,GTL1_targets
AT1G03445,GTL1_targets
AT1G03490,GTL1_targets
AT1G03550,GTL1_targets
AT1G03600,GTL1_targets
