regulator,regulator site,interaction,target,target site,Time,Type,Pearson,Spearman,Weight
AT1G06070,,regulates,AT2G17150,,15min,TF-Abundance,,,0.946392677
AT1G06070,,regulates,AT3G48920,,15min,TF-Abundance,,,0.796902992
AT1G06070,,regulates,AT4G17230,,15min,TF-Abundance,,,0.986118898
AT1G06070,,regulates,AT5G03740,,15min,TF-Abundance,,,0.931623402
AT1G68840,,regulates,AT1G01090,,15min,TF-Abundance,,,0.936535318
AT1G68840,,regulates,AT1G28350,,15min,TF-Abundance,,,0.698048829
AT1G68840,,regulates,AT1G48920,,15min,TF-Abundance,,,0.892795306
AT1G68840,,regulates,AT1G64230,,15min,TF-Abundance,,,0.966762613
AT1G68840,,regulates,AT2G35790,,15min,TF-Abundance,,,0.687530284
AT1G68840,,regulates,AT2G36530,,15min,TF-Abundance,,,0.94346686
AT1G68840,,regulates,AT2G43030,,15min,TF-Abundance,,,0.777316902
AT1G68840,,regulates,AT3G07810,,15min,TF-Abundance,,,0.692357205
AT1G68840,,regulates,AT3G10670,,15min,TF-Abundance,,,0.668332455
AT1G68840,,regulates,AT3G12780,,15min,TF-Abundance,,,0.82523526
AT1G68840,,regulates,AT3G48730,,15min,TF-Abundance,,,0.754560372
AT1G68840,,regulates,AT4G20360,,15min,TF-Abundance,,,0.785407698
AT1G68840,,regulates,AT4G31340,,15min,TF-Abundance,,,0.80872382
AT1G68840,,regulates,AT4G34450,,15min,TF-Abundance,,,0.776735055
AT1G68840,,regulates,AT4G35570,,15min,TF-Abundance,,,0.689295339
AT1G68840,,regulates,AT5G14320,,15min,TF-Abundance,,,0.823305255
AT1G68840,,regulates,AT5G47220,,15min,TF-Abundance,,,0.363048306
AT1G68840,,regulates,AT5G52650,,15min,TF-Abundance,,,0.699548298
AT1G73100,,regulates,AT1G06070,,15min,TF-Abundance,,,1
AT1G73100,,regulates,AT2G17150,,15min,TF-Abundance,,,0.787050798
AT1G73100,,regulates,AT2G21530,,15min,TF-Abundance,,,0.399119222
AT1G73100,,regulates,AT3G48920,,15min,TF-Abundance,,,0.776742736
AT1G73100,,regulates,AT4G17230,,15min,TF-Abundance,,,0.757489064
AT1G73100,,regulates,AT4G17490,,15min,TF-Abundance,,,0.550751834
