GeneID,Name,Description
AT1G01010,NAC001,NAC domain containing protein 1
AT1G01030,NGA3,AP2/B3-like transcriptional factor family protein
AT1G01060,LHY,Homeodomain-like superfamily protein
AT1G01250,AT1G01250,Integrase-type DNA-binding superfamily protein
AT1G01260,AT1G01260,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G01380,ETC1,Homeodomain-like superfamily protein
AT1G01520,ASG4,Homeodomain-like superfamily protein
AT1G01530,AGL28,AGAMOUS-like 28
AT1G01720,ATAF1,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G02030,AT1G02030,C2H2-like zinc finger protein
AT1G02040,AT1G02040,C2H2-type zinc finger family protein
AT1G02065,SPL8,squamosa promoter binding protein-like 8
AT1G02220,NAC003,NAC domain containing protein 3
AT1G02230,NAC004,NAC domain containing protein 4
AT1G02250,NAC005,NAC domain containing protein 5
AT1G02340,HFR1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G03040,AT1G03040,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G03490,NAC006,NAC domain containing protein 6
AT1G03800,ERF10,ERF domain protein 10
AT1G03840,MGP,C2H2 and C2HC zinc fingers superfamily protein
AT1G03970,GBF4,G-box binding factor 4
AT1G04370,ERF14,Ethylene-responsive element binding factor 14
AT1G05230,HDG2,homeodomain GLABROUS 2
AT1G05690,BT3,BTB and TAZ domain protein 3
AT1G05805,AT1G05805,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G06070,AT1G06070,Basic-leucine zipper (bZIP) transcription factor family protein
AT1G06160,ORA59,octadecanoid-responsive AP2/ERF 59
AT1G06170,AT1G06170,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G06180,MYB13,myb domain protein 13
AT1G06850,bZIP52,basic leucine-zipper 52
AT1G07520,AT1G07520,GRAS family transcription factor
AT1G07530,SCL14,SCARECROW-like 14
AT1G07640,OBP2,Dof-type zinc finger DNA-binding family protein
AT1G08000,GATA10,GATA transcription factor 10
AT1G08010,GATA11,GATA transcription factor 11
AT1G08290,WIP3,WIP domain protein 3
AT1G08320,TGA9,bZIP transcription factor family protein
AT1G08465,YAB2,Plant-specific transcription factor YABBY family protein
AT1G08620,PKDM7D,Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein
AT1G08810,MYB60,myb domain protein 60
AT1G08970,NF-YC9,"nuclear factor Y, subunit C9"
AT1G09030,NF-YB4,"nuclear factor Y, subunit B4"
AT1G09530,PIF3,phytochrome interacting factor 3
AT1G09540,MYB61,myb domain protein 61
