geno,treatment,day,cell_type,image,position,cumm_len,cell_len,date,notes
WT,control,7,cortex_meristem,WTctrl-1.czi,1,8.884,8.884,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,2,16.134,7.25,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,3,27.949,11.815,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,4,34.394,6.445,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,5,39.035,4.641,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,6,45.882,6.847,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,7,50.932,5.05,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,8,57.778,6.846,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,9,62.829,5.051,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,10,69.393,6.564,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,11,75.336,5.943,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,12,83.322,7.986,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,13,91.88,8.558,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,14,100.275,8.395,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,15,108.206,7.931,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,16,117.013,8.807,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,17,124.119,7.106,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,18,132.432,8.313,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,19,141.189,8.757,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,20,146.324,5.135,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,21,151.784,5.46,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,22,158.066,6.282,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,23,163.463,5.397,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,24,170.569,7.106,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,25,176.395,5.826,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,26,180.981,4.586,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,27,185.566,4.585,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,28,193.465,7.899,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,29,200.534,7.069,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,30,207.603,7.069,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,31,213.886,6.283,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,32,221.369,7.483,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,33,227.24,5.871,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,34,233.467,6.227,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,35,239.708,6.241,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,36,245.949,6.241,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,37,253.836,7.887,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,38,263.8,9.964,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,39,272.557,8.757,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,40,280.444,7.887,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,41,289.587,9.143,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,42,298.305,8.718,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,43,306.607,8.302,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,44,315.364,8.757,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,45,327.057,11.693,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,46,335.37,8.313,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,47,344.954,9.584,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,48,356.231,11.277,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,49,364.959,8.728,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,50,375.76,10.801,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,51,387.806,12.046,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,52,396.109,8.303,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,53,404.008,7.899,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,54,413.979,9.971,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,55,428.1,14.121,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,56,444.296,16.196,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,57,451.404,7.108,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,58,476.397,24.993,20220202,
WT,control,7,cortex_meristem,WTctrl-1.czi,59,499.737,23.34,20220202,
