gene,gene name
AT1G41830,SKS6
AT3G18200,AT3G18200
AT5G12940,AT5G12940
AT5G64620,C/VIF2
AT5G03760,CSLA9
AT1G14080,FUT6
AT5G01330,PDC3
AT1G64390,AtGH9C2
AT5G66920,sks17
AT3G01190,PER27
AT5G19230,AT5G19230
AT4G02290,AtGH9B13
AT1G55360,AT1G55360
AT4G32460,AT4G32460
AT4G19120,ERD3
AT5G49360,BXL1
AT4G15160,AT4G15160
AT5G40330,MYB23
AT5G63800,BGAL6
AT4G30190,HA2
AT4G22010,sks4
AT1G29025,AT1G29025
AT4G03190,GRH1
AT5G09870,CESA5
AT2G06850,XTH4
AT3G24750,AT3G24750
AT3G12610,DRT100
AT3G23510,AT3G23510
AT2G39130,AVT1C
AT1G30690,PATL4
AT3G57520,RFS2
AT4G02700,SULTR3;2
AT1G08930,ERD6
AT4G14550,IAA14
AT5G60660,PIP2-4
AT5G20050,AT5G20050
AT1G62440,LRX2
AT5G22310,AT5G22310
AT1G67750,AT1G67750
AT3G54770,ARP1
AT4G26540,RGI3
AT3G21250,MRP6
AT5G55250,IAMT1
AT4G25260,PMEI7
AT2G38120,AUX1
AT1G08590,PXL1
AT3G52470,AT3G52470
AT2G14890,AGP9
AT2G15370,FUT5
AT5G65810,CGR3
AT1G64920,UGT79B11
AT1G20010,TUBB5
AT1G08500,ENODL18
AT5G05170,CESA3
AT4G30170,PER45
AT5G58600,PMR5
AT2G19620,NDL3
AT5G15470,GAUT14
AT2G05790,AT2G05790
AT3G63470,SCPL40
AT1G15625,AT1G15625
AT3G28200,PER31
AT1G11310,MLO2
AT5G64740,CESA6
AT1G44100,AAP5
AT2G29750,UGT71C1
AT3G28180,CSLC4
AT1G76670,URGT1
AT3G09300,ORP3B
AT4G30060,AT4G30060
AT5G09890,AT5G09890
AT3G49220,AT3G49220
AT1G04250,IAA17
AT1G20840,MSSP1
AT1G30570,HERK2
AT1G11545,XTH8
AT1G65010,AT1G65010
AT5G62670,AHA11
AT4G10380,NIP5-1
AT1G64650,AT1G64650
AT1G03870,FLA9
AT4G35100,PIP2-7
AT2G38170,CAX1
AT3G25140,GAUT8
AT3G07010,AT3G07010
AT1G19300,GATL1
AT1G64640,ENODL8
AT5G06700,TBR
AT1G79990,AT1G79990
AT4G12420,SKU5
AT4G30290,XTH19
AT3G25540,LAG1
AT1G08510,FATB
AT1G10950,TMN1
AT5G42860,AT5G42860
AT1G12240,BFRUCT4
AT1G15550,GA3OX1
AT1G71880,SUC1
AT1G77330,AT1G77330
AT2G37130,PER21
AT5G14750,WER
AT5G56040,AT5G56040
AT1G14540,PER4
AT2G23690,AT2G23690
AT4G38040,AT4G38040
AT2G36380,ABCG34
AT5G15150,HAT7
AT5G03040,iqd2
AT4G23010,UTR2
AT5G19190,AT5G19190
AT5G49280,AT5G49280
AT4G02130,GATL6
AT2G02780,AT2G02780
AT1G33240,AT-GTL1
AT5G07110,PRA1B6
AT1G14290,SBH2
AT5G55960,AT5G55960
AT2G41190,AVT1A
AT5G04160,UUAT1
AT1G74380,XXT5
AT5G44020,AT5G44020
AT2G19880,AT2G19880
AT1G05660,AT1G05660
AT3G57330,ACA11
AT3G43960,RDL3
AT2G24300,AT2G24300
AT3G01720,SERGT1
AT3G58850,PAR2
AT5G16590,LRR1
AT5G40780,LHT1
AT2G38360,PRA1B4
AT4G18380,AT4G18380
AT3G17185,TASIR-ARF
AT5G42420,URGT3
AT3G06770,AT3G06770
AT3G45600,TET3
AT3G17120,AT3G17120
AT3G19930,STP4
AT2G34770,FAH1
AT2G36830,TIP1-1
AT5G50335,AT5G50335
AT1G76090,SMT3
AT4G14360,AT4G14360
AT4G12650,TMN12
AT5G47910,RBOHD
AT1G57990,PUP18
AT4G26690,GDPDL3
AT4G24275,AT4G24275
AT4G25870,AT4G25870
AT3G01290,HIR3
AT1G05300,ZIP5
AT3G53420,PIP2-1
AT5G43350,PHT1-1
AT4G12730,FLA2
AT2G40475,AT2G40475
AT1G09200,HTR2
AT3G27080,TOM20-3
AT4G24780,AT4G24780
AT4G34960,CYP21-1
AT5G66690,UGT72E2
AT3G46030,HTB11
AT2G32920,PDIL2-3
AT3G62570,AT3G62570
