source,source_name,target,target_name,cluster,coef_mean,coef_abs,p,-logp,network,TF_target,cell_wall_related_gene
AT5G15150,HAT7,AT2G34300,AT2G34300,Elongation_Cortex_BRZ_4_BL,0.05849942,0.05849942,2.9587371569178403e-13,12.528893614214299,Cortex,AT5G15150_AT2G34300,TRUE
AT5G15150,HAT7,AT2G34300,AT2G34300,Elongation_Cortex_BRZ_2_BL,0.055708963,0.055708963,2.1595728655269914e-12,11.665632137964053,Cortex,AT5G15150_AT2G34300,TRUE
AT5G15150,HAT7,AT1G04430,AT1G04430,Elongation_Cortex_BRZ_2_BL,0.051924530000000003,0.051924530000000003,1.9132269025294562e-17,16.718233520995792,Cortex,AT5G15150_AT1G04430,TRUE
AT5G15150,HAT7,AT1G04430,AT1G04430,Elongation_Cortex_BRZ_4_BL,0.041530475,0.041530475,3.730086620248239e-12,11.428281082867175,Cortex,AT5G15150_AT1G04430,TRUE
AT5G15150,HAT7,AT2G34300,AT2G34300,Elongation_Cortex_BRZ_8_BL,0.041009314,0.041009314,5.263824423489822e-12,11.278698605180805,Cortex,AT5G15150_AT2G34300,TRUE
AT5G15150,HAT7,AT2G34300,AT2G34300,Elongation_Cortex_BRZ_0_5_BL,0.03754716,0.03754716,6.730429294305831e-13,12.171957233814352,Cortex,AT5G15150_AT2G34300,TRUE
AT5G15150,HAT7,AT2G34300,AT2G34300,Elongation_Cortex_BRZ,0.036341093,0.036341093,5.816708174274957e-15,14.235322724319435,Cortex,AT5G15150_AT2G34300,TRUE
AT1G33240,AT-GTL1,AT1G04430,AT1G04430,Elongation_Cortex_BRZ_4_BL,0.03532046,0.03532046,1.0077010011675864e-14,13.99666830995972,Cortex,AT1G33240_AT1G04430,TRUE
AT1G33240,AT-GTL1,AT1G04430,AT1G04430,Elongation_Cortex_BRZ_2_BL,0.03524201,0.03524201,5.53967764746212e-14,13.256515506029967,Cortex,AT1G33240_AT1G04430,TRUE
AT1G69780,ATHB-13,AT5G15490,UGD3,Elongation_Cortex_BRZ_4_BL,0.03401435,0.03401435,2.0103360251664856e-10,9.696731344729475,Cortex,AT1G69780_AT5G15490,TRUE
AT5G15150,HAT7,AT1G04430,AT1G04430,Elongation_Cortex_BRZ_8_BL,0.03324555,0.03324555,7.566347163181065e-14,13.121113736054783,Cortex,AT5G15150_AT1G04430,TRUE
AT1G33240,AT-GTL1,AT4G14360,AT4G14360,Elongation_Cortex_BRZ_4_BL,0.03277718,0.03277718,1.5419661334023596e-14,13.8119251647014,Cortex,AT1G33240_AT4G14360,TRUE
AT1G26960,ATHB-23,AT1G04430,AT1G04430,Elongation_Cortex_BRZ_4_BL,0.032500617,0.032500617,1.4478923289631783e-14,13.839263732804461,Cortex,AT1G26960_AT1G04430,TRUE
AT1G69780,ATHB-13,AT5G15490,UGD3,Elongation_Cortex_BRZ_2_BL,0.031750243,0.031750243,7.201658960324977e-9,8.14256744880143,Cortex,AT1G69780_AT5G15490,TRUE
AT5G15150,HAT7,AT5G63800,BGAL6,Elongation_Cortex_BRZ_2_BL,0.03149175,0.03149175,7.55396019359328e-17,16.121825308064004,Cortex,AT5G15150_AT5G63800,TRUE
AT1G33240,AT-GTL1,AT4G14360,AT4G14360,Elongation_Cortex_BRZ_2_BL,0.03083059,0.03083059,1.2587444962803777e-12,11.900062415338256,Cortex,AT1G33240_AT4G14360,TRUE
AT5G15150,HAT7,AT1G04430,AT1G04430,Elongation_Cortex_BRZ_0_5_BL,0.030121012,0.030121012,1.2976267211161543e-13,12.88685021991944,Cortex,AT5G15150_AT1G04430,TRUE
AT1G69780,ATHB-13,AT5G15490,UGD3,Elongation_Cortex_BRZ_8_BL,0.02993834,0.02993834,9.589353989835879e-12,11.018210649148374,Cortex,AT1G69780_AT5G15490,TRUE
AT5G15150,HAT7,AT3G19820,DIM,Elongation_Cortex_BRZ_2_BL,0.029870108,0.029870108,1.0144719886220422e-15,14.993759940109026,Cortex,AT5G15150_AT3G19820,TRUE
AT5G15150,HAT7,AT1G04430,AT1G04430,Elongation_Cortex_BRZ,0.029096335,0.029096335,6.692676864376227e-14,13.174400143083473,Cortex,AT5G15150_AT1G04430,TRUE
AT1G26960,ATHB-23,AT2G06850,XTH4,Elongation_Cortex_BRZ,0.028897095,0.028897095,3.6615689984302125e-16,15.43633277762568,Cortex,AT1G26960_AT2G06850,TRUE
AT1G33240,AT-GTL1,AT4G14360,AT4G14360,Elongation_Cortex_BRZ_8_BL,0.028199742,0.028199742,2.4326162443284768e-14,13.613926397487493,Cortex,AT1G33240_AT4G14360,TRUE
AT5G15150,HAT7,AT2G34300,AT2G34300,Elongation_Cortex_BRZ_1_BL,0.028053237,0.028053237,5.310086115223312e-14,13.274898435780484,Cortex,AT5G15150_AT2G34300,TRUE
AT3G01220,ATHB-20,AT5G15490,UGD3,Elongation_Cortex_BRZ_2_BL,0.027430827,0.027430827,9.127751658874847e-10,9.039636184392588,Cortex,AT3G01220_AT5G15490,TRUE
AT1G26960,ATHB-23,AT1G04430,AT1G04430,Elongation_Cortex_BRZ_2_BL,0.027133225,0.027133225,1.0698331489623663e-11,10.970683949544014,Cortex,AT1G26960_AT1G04430,TRUE
AT1G69780,ATHB-13,AT5G15490,UGD3,Elongation_Cortex_BRZ_0_5_BL,0.026894534,0.026894534,2.902755623979688e-11,10.53718952483814,Cortex,AT1G69780_AT5G15490,TRUE
AT1G33240,AT-GTL1,AT1G04430,AT1G04430,Elongation_Cortex_BRZ_8_BL,0.026778264,0.026778264,3.721852983515479e-16,15.429240785882575,Cortex,AT1G33240_AT1G04430,TRUE
AT1G33240,AT-GTL1,AT1G74380,XXT5,Elongation_Cortex_BRZ_2_BL,0.026366761,0.026366761,1.3862429682683595e-17,16.8581606438004,Cortex,AT1G33240_AT1G74380,TRUE
AT3G01220,ATHB-20,AT1G76670,URGT1,Elongation_Cortex_BRZ_2_BL,0.026185594,0.026185594,1.234150828896841e-16,15.908631760760858,Cortex,AT3G01220_AT1G76670,TRUE
AT5G15150,HAT7,AT1G76670,URGT1,Elongation_Cortex_BRZ_2_BL,0.026179094,0.026179094,2.74559201686411e-19,18.5613639965925,Cortex,AT5G15150_AT1G76670,TRUE
AT1G33240,AT-GTL1,AT1G04430,AT1G04430,Elongation_Cortex_BRZ_0_5_BL,0.025716007,0.025716007,6.426800683154336e-17,16.192005168822835,Cortex,AT1G33240_AT1G04430,TRUE
AT3G01220,ATHB-20,AT2G34300,AT2G34300,Elongation_Cortex_BRZ_0_5_BL,0.025469124,0.025469124,1.2309407287116033e-11,10.909762858371048,Cortex,AT3G01220_AT2G34300,TRUE
AT5G15150,HAT7,AT5G65810,CGR3,Elongation_Cortex_BRZ_2_BL,0.025227772,0.025227772,2.784892085263731e-20,19.555191629101568,Cortex,AT5G15150_AT5G65810,TRUE
AT3G01220,ATHB-20,AT1G76670,URGT1,Elongation_Cortex_BRZ_8_BL,0.025002163,0.025002163,1.218906172003892e-19,18.91402972387242,Cortex,AT3G01220_AT1G76670,TRUE
AT1G26960,ATHB-23,AT1G76670,URGT1,Elongation_Cortex_BRZ_2_BL,0.02459478,0.02459478,9.19350320455244e-15,14.036518968211428,Cortex,AT1G26960_AT1G76670,TRUE
AT1G33240,AT-GTL1,AT2G06850,XTH4,Elongation_Cortex_BRZ,0.024547704,0.024547704,2.4916001832658416e-15,14.603521645854029,Cortex,AT1G33240_AT2G06850,TRUE
AT1G33240,AT-GTL1,AT3G19820,DIM,Elongation_Cortex_BRZ_4_BL,0.024360819,0.024360819,5.9723755321940015e-15,14.223852892435279,Cortex,AT1G33240_AT3G19820,TRUE
AT1G33240,AT-GTL1,AT5G63800,BGAL6,Elongation_Cortex_BRZ_4_BL,0.02416644,0.02416644,3.2522504176138073e-16,15.487816021872321,Cortex,AT1G33240_AT5G63800,TRUE
AT5G15150,HAT7,AT4G30280,XTH18,Elongation_Cortex_BRZ_2_BL,-0.024129631,0.024129631,1.8070624994778918e-16,15.743026826570793,Cortex,AT5G15150_AT4G30280,TRUE
AT1G33240,AT-GTL1,AT5G15490,UGD3,Elongation_Cortex_BRZ_2_BL,0.023908235,0.023908235,7.874572564855876e-7,6.103773010587567,Cortex,AT1G33240_AT5G15490,TRUE
AT1G33240,AT-GTL1,AT2G06850,XTH4,Elongation_Cortex_BRZ_0_5_BL,0.02344057,0.02344057,1.465183231274989e-12,11.83410806039134,Cortex,AT1G33240_AT2G06850,TRUE
AT5G15150,HAT7,AT1G26850,AT1G26850,Elongation_Cortex_BRZ_2_BL,0.023301655,0.023301655,3.930292464827983e-17,16.405575131269607,Cortex,AT5G15150_AT1G26850,TRUE
AT5G15150,HAT7,AT5G20950,AT5G20950,Elongation_Cortex_BRZ_2_BL,0.023178922,0.023178922,8.474924434626257e-14,13.071864165428261,Cortex,AT5G15150_AT5G20950,TRUE
AT5G15150,HAT7,AT3G28180,CSLC4,Elongation_Cortex_BRZ_2_BL,0.022922378,0.022922378,3.432364314682608e-17,16.4644066219133,Cortex,AT5G15150_AT3G28180,TRUE
AT1G33240,AT-GTL1,AT1G04430,AT1G04430,Elongation_Cortex_BRZ,0.022691248,0.022691248,3.293748872989378e-14,13.482309516044388,Cortex,AT1G33240_AT1G04430,TRUE
AT1G69780,ATHB-13,AT5G15490,UGD3,Elongation_Cortex_BRZ_1_BL,0.022679863,0.022679863,2.394058651397321e-10,9.620865214135875,Cortex,AT1G69780_AT5G15490,TRUE
AT1G26960,ATHB-23,AT1G76670,URGT1,Elongation_Cortex_BRZ,0.02255023,0.02255023,9.85614711126014e-19,18.00629282292197,Cortex,AT1G26960_AT1G76670,TRUE
AT1G26960,ATHB-23,AT2G06850,XTH4,Elongation_Cortex_BRZ_0_5_BL,0.022414954,0.022414954,9.169457225612169e-12,11.037656371080045,Cortex,AT1G26960_AT2G06850,TRUE
AT1G33240,AT-GTL1,AT5G15490,UGD3,Elongation_Cortex_BRZ_0_5_BL,0.022319946,0.022319946,1.9573873709111826e-8,7.70832321808178,Cortex,AT1G33240_AT5G15490,TRUE
AT5G15150,HAT7,AT1G04430,AT1G04430,Elongation_Cortex_BRZ_1_BL,0.022242874,0.022242874,1.3497872610811891e-13,12.86973467492648,Cortex,AT5G15150_AT1G04430,TRUE
AT3G01220,ATHB-20,AT5G15490,UGD3,Elongation_Cortex_BRZ_4_BL,0.02222238,0.02222238,6.337857534709344e-7,6.19805752730807,Cortex,AT3G01220_AT5G15490,TRUE
AT1G33240,AT-GTL1,AT1G74380,XXT5,Elongation_Cortex_BRZ_4_BL,0.022067947,0.022067947,3.770669344609424e-18,17.423581549829244,Cortex,AT1G33240_AT1G74380,TRUE
AT5G15150,HAT7,AT3G19820,DIM,Elongation_Cortex_BRZ_8_BL,0.022065582,0.022065582,1.0607684798166849e-19,18.974379393582083,Cortex,AT5G15150_AT3G19820,TRUE
AT5G15150,HAT7,AT2G22125,CSI1,Elongation_Cortex_BRZ_2_BL,0.022036813,0.022036813,1.7180995032383268e-18,17.764951687736467,Cortex,AT5G15150_AT2G22125,TRUE
AT5G15150,HAT7,AT5G20950,AT5G20950,Elongation_Cortex_BRZ,0.022004897,0.022004897,2.6172680357731085e-15,14.582151798760048,Cortex,AT5G15150_AT5G20950,TRUE
AT5G15150,HAT7,AT3G19820,DIM,Elongation_Cortex_BRZ,0.0217418,0.0217418,3.612853447299706e-17,16.4421496549058,Cortex,AT5G15150_AT3G19820,TRUE
AT5G15150,HAT7,AT3G19820,DIM,Elongation_Cortex_BRZ_4_BL,0.021683488,0.021683488,1.0095804582638074e-14,13.99585906435027,Cortex,AT5G15150_AT3G19820,TRUE
AT1G33240,AT-GTL1,AT4G14360,AT4G14360,Elongation_Cortex_BRZ,0.021660393,0.021660393,4.560562488816869e-15,14.340981589194365,Cortex,AT1G33240_AT4G14360,TRUE
AT5G15150,HAT7,AT5G03760,CSLA9,Elongation_Cortex_BRZ_2_BL,0.021432102,0.021432102,2.1720960472875265e-18,17.663120974716378,Cortex,AT5G15150_AT5G03760,TRUE
AT1G33240,AT-GTL1,AT5G15490,UGD3,Elongation_Cortex_BRZ_8_BL,0.02135646,0.02135646,2.3066514264239076e-8,7.637018029674118,Cortex,AT1G33240_AT5G15490,TRUE
