"","gene","cluster_id","sc_2.cpm","sc_43.cpm","sc_50.cpm","sc_5.cpm","sc_46.cpm","sc_49.cpm","sc_2.frq","sc_43.frq","sc_50.frq","sc_5.frq","sc_46.frq","sc_49.frq","BRZ.frq","BL.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"1","AT1G01070","all",2.3,5.74,6.16,8.7,9.71,11.9,0.014,0.03,0.0338,0.037,0.0466,0.0479,0.0253,0.0427,1.2,2.9,30.1,0.000528,0.00865,1,"BL-BRZ","AT1G01070",NA,NA,"Up","all_Up"
"2","AT1G01380","all",10.1,12.8,10.1,21.1,20.6,19.8,0.0566,0.0814,0.0737,0.113,0.123,0.106,0.0709,0.114,0.894,3.98,51.9,8.02e-05,0.00281,1,"BL-BRZ","ETC1","ETC1","Homeodomain-like superfamily protein","Up","all_Up"
"3","AT1G01600","all",0.0987,0.231,0.45,0.944,1.37,0.677,0.0012,0.0027,0.00491,0.00592,0.0101,0.00603,0.0027,0.00723,2.05,-0.622,21,0.00166,0.0177,1,"BL-BRZ","CYP86A4",NA,NA,"Up","all_Up"
"4","AT1G02050","all",2.19,2.49,1.54,1.3,0.957,0.721,0.0272,0.0281,0.0228,0.013,0.0145,0.0112,0.0265,0.013,-1.09,0.64,19.8,0.002,0.02,1,"BL-BRZ","PKSA",NA,NA,"Down","all_Down"
"5","AT1G02220","all",6.78,6.13,4.71,10.6,11.4,11.4,0.0598,0.0436,0.0399,0.0757,0.0854,0.0734,0.0484,0.0781,0.929,3.09,37.9,0.000243,0.00539,1,"BL-BRZ","NAC003","NAC003","NAC domain containing protein 3","Up","all_Up"
"6","AT1G02230","all",47.1,28.3,26,65.6,66.5,53.6,0.177,0.132,0.133,0.248,0.237,0.203,0.148,0.233,0.922,5.58,34.4,0.000341,0.0066,1,"BL-BRZ","NAC004","NAC004","NAC domain containing protein 4","Up","all_Up"
"7","AT1G02335","all",6.57,11.7,11.2,3.1,3.04,4.5,0.00745,0.0116,0.0118,0.00449,0.00409,0.00568,0.0102,0.00467,-1.43,2.74,60.1,4.72e-05,0.00204,1,"BL-BRZ","GL22",NA,NA,"Down","all_Down"
"8","AT1G02360","all",37.6,28,26.6,85.1,44.1,58,0.194,0.134,0.151,0.302,0.196,0.208,0.159,0.245,0.995,5.54,60.3,4.65e-05,0.00203,1,"BL-BRZ","AT1G02360",NA,NA,"Up","all_Up"
"9","AT1G02380","all",2.61,1.64,2.26,5.13,3.12,4.41,0.0229,0.014,0.0204,0.0331,0.0256,0.0236,0.0186,0.0284,0.959,1.68,25.2,0.000941,0.0124,1,"BL-BRZ","AT1G02380",NA,NA,"Up","all_Up"
"10","AT1G02440","all",0.721,0.624,0.878,1.09,2.55,2.9,0.00799,0.00721,0.01,0.0101,0.0282,0.0303,0.00815,0.0208,1.46,0.563,25.6,0.000897,0.012,1,"BL-BRZ","ATARFD1A",NA,NA,"Up","all_Up"
"11","AT1G02450","all",1.14,0.761,0.82,1.76,1.55,2.04,0.012,0.00789,0.0118,0.0137,0.018,0.0209,0.0102,0.0168,0.993,0.445,22.6,0.00134,0.0154,1,"BL-BRZ","NIMIN-1",NA,NA,"Up","all_Up"
"12","AT1G02460","all",5.74,6.27,5.44,18.2,16.4,20.1,0.026,0.0361,0.0362,0.0459,0.0549,0.0631,0.0326,0.053,1.65,3.59,170,8.78e-07,0.000246,0.0207,"BL-BRZ","AT1G02460",NA,NA,"Up","all_Up"
"13","AT1G02570","all",5.47,7.11,10.8,2.36,3.47,4.47,0.031,0.03,0.0356,0.0165,0.0203,0.0188,0.0317,0.0183,-1.18,2.49,40.2,0.000199,0.00482,1,"BL-BRZ","AT1G02570",NA,NA,"Down","all_Down"
"14","AT1G02640","all",28.6,21.5,32.6,42.8,42.6,44.4,0.0498,0.0507,0.058,0.105,0.111,0.107,0.0521,0.107,0.651,5.15,19.1,0.00223,0.0214,1,"BL-BRZ","BXL2",NA,NA,"Up","all_Up"
"15","AT1G02705","all",1.15,1.29,1.67,1.68,2.4,3.73,0.00812,0.01,0.0136,0.0105,0.0159,0.0204,0.0102,0.0147,0.89,1,15.2,0.00429,0.0328,1,"BL-BRZ","AT1G02705",NA,NA,"Up","all_Up"
"16","AT1G02850","all",37.5,11.3,9.39,19.4,6.66,6.1,0.103,0.0405,0.0356,0.0909,0.0454,0.0371,0.0612,0.0633,-0.785,3.92,42.9,0.000158,0.00417,1,"BL-BRZ","BGLU11",NA,NA,"Down","all_Down"
"17","AT1G03170","all",0.118,0.291,0.231,0.256,0.902,1.05,0.0012,0.0027,0.00275,0.00215,0.0073,0.0078,0.00219,0.00516,1.69,-1.02,34.3,0.000343,0.00661,1,"BL-BRZ","FAF2",NA,NA,"Up","all_Up"
"18","AT1G03270","all",3.76,3.11,2.75,2.27,1.67,1.48,0.0431,0.0347,0.0393,0.0222,0.0232,0.0197,0.0387,0.0219,-0.836,1.34,30.8,0.000494,0.00828,1,"BL-BRZ","CBSDUF4",NA,NA,"Down","all_Down"
"19","AT1G03457","all",7.26,11.7,11.7,17.1,18.6,19.8,0.0804,0.107,0.131,0.137,0.181,0.187,0.103,0.164,0.888,3.84,46.8,0.000116,0.00345,1,"BL-BRZ","AT1G03457",NA,NA,"Up","all_Up"
"20","AT1G03600","all",3.41,4.47,4.69,1.84,1.54,1.51,0.0357,0.0445,0.0521,0.017,0.0194,0.0195,0.0432,0.0184,-1.36,1.55,56.2,6.03e-05,0.00239,1,"BL-BRZ","PSB27-1",NA,NA,"Down","all_Down"
"21","AT1G03610","all",33.3,29.1,29.8,15.8,12.7,16.2,0.28,0.219,0.268,0.136,0.146,0.172,0.252,0.148,-1.04,4.51,85.7,1.26e-05,0.000952,0.294,"BL-BRZ","AT1G03610",NA,NA,"Down","all_Down"
"22","AT1G03790","all",11.8,4.31,5.45,3.23,1.26,0.382,0.0543,0.0184,0.0258,0.0175,0.00672,0.00302,0.0327,0.0105,-2.3,2.15,40.8,0.000189,0.00467,1,"BL-BRZ","SOM","SOM","Zinc finger C-x8-C-x5-C-x3-H type family protein","Down","all_Down"
"23","AT1G03800","all",2.14,1.33,1.11,0.668,0.396,0.349,0.0226,0.0158,0.0142,0.00644,0.0057,0.00479,0.0178,0.00579,-1.7,0.0316,72.4,2.37e-05,0.00137,0.552,"BL-BRZ","ERF10","ERF10","ERF domain protein 10","Down","all_Down"
"24","AT1G03820","all",4.37,3.24,4.08,9.22,7.32,5.6,0.0106,0.0133,0.0147,0.0221,0.0209,0.0186,0.0127,0.0208,0.908,2.5,31.4,0.000459,0.00785,1,"BL-BRZ","AT1G03820",NA,NA,"Up","all_Up"
"25","AT1G03840","all",2.48,2.53,2.33,4.5,5.92,4.14,0.0206,0.022,0.0236,0.0285,0.039,0.0381,0.0219,0.0342,0.985,1.88,33.2,0.000384,0.00709,1,"BL-BRZ","MGP","MGP","C2H2 and C2HC zinc fingers superfamily protein","Up","all_Up"
"26","AT1G03870","all",492,341,336,878,715,779,0.527,0.451,0.428,0.746,0.666,0.656,0.472,0.699,1.04,9.21,84.4,1.33e-05,0.000987,0.312,"BL-BRZ","FLA9",NA,NA,"Up","all_Up"
"27","AT1G04180","all",11.3,13.4,15.4,37.1,23.9,25,0.1,0.107,0.127,0.221,0.184,0.179,0.109,0.199,1.08,4.39,32.8,4e-04,0.00727,1,"BL-BRZ","YUC9",NA,NA,"Up","all_Up"
"28","AT1G04220","all",0.543,0.599,0.935,0.246,0.11,0.175,0.00453,0.00462,0.00629,0.00245,0.00161,0.00195,0.00498,0.00207,-1.97,-1.15,26.4,0.00081,0.0114,1,"BL-BRZ","KCS2",NA,NA,"Down","all_Down"
"29","AT1G04310","all",5.59,6.57,5.89,3.68,1.94,1.77,0.062,0.0704,0.0743,0.0339,0.0282,0.0257,0.0684,0.0301,-1.36,2.09,33.3,0.000377,0.00701,1,"BL-BRZ","ERS2",NA,NA,"Down","all_Down"
"30","AT1G04360","all",2.33,4.23,3.07,4.37,6.77,5.57,0.0258,0.041,0.034,0.0365,0.0675,0.0564,0.034,0.051,0.805,2.14,23.4,0.0012,0.0144,1,"BL-BRZ","ATL1","AT1G04360","RING/U-box superfamily protein","Up","all_Up"
"31","AT1G04430","all",103,129,106,236,221,215,0.412,0.395,0.37,0.598,0.583,0.55,0.395,0.581,0.996,7.39,67.2,3.13e-05,0.00161,0.728,"BL-BRZ","AT1G04430",NA,NA,"Up","all_Up"
"32","AT1G04445","all",4.67,5.47,4.4,7.91,6.9,7.51,0.0526,0.0562,0.0613,0.0712,0.0849,0.0878,0.0562,0.0796,0.616,2.62,19.8,0.00201,0.0201,1,"BL-BRZ","AT1G04445","AT1G04445","C2H2-like zinc finger protein","Up","all_Up"
"33","AT1G04550","all",4.78,8.14,10.3,9.47,13.4,16.7,0.0363,0.0628,0.082,0.0512,0.104,0.11,0.0581,0.0825,0.796,3.39,28.9,0.000608,0.00945,1,"BL-BRZ","IAA12","IAA12","AUX/IAA transcriptional regulator family protein","Up","all_Up"
"34","AT1G04610","all",13.8,8.96,11,35.8,29.8,41.1,0.0712,0.0514,0.0716,0.204,0.164,0.19,0.0631,0.188,1.68,4.55,106,5.57e-06,0.000602,0.131,"BL-BRZ","YUC3",NA,NA,"Up","all_Up"
"35","AT1G04680","all",67.9,105,90.1,130,157,147,0.299,0.312,0.269,0.428,0.475,0.432,0.297,0.443,0.742,6.86,41.8,0.000174,0.00444,1,"BL-BRZ","AT1G04680",NA,NA,"Up","all_Up"
"36","AT1G04730","all",2.36,2.91,2.67,4,4.42,4.72,0.0266,0.0286,0.0311,0.0349,0.0491,0.0505,0.0285,0.0432,0.727,1.82,29.9,0.000544,0.00882,1,"BL-BRZ","CTF18",NA,NA,"Up","all_Up"
"37","AT1G04770","all",26.7,13,19.3,15,11.6,9.83,0.208,0.114,0.165,0.121,0.128,0.111,0.159,0.12,-0.672,3.99,17.6,0.00286,0.0252,1,"BL-BRZ","AT1G04770",NA,NA,"Down","all_Down"
"38","AT1G04778","all",0.612,1.79,2.21,1.49,2.64,3.7,0.00652,0.017,0.0252,0.0108,0.027,0.0317,0.0153,0.0211,0.852,1.06,15.8,0.00389,0.0308,1,"BL-BRZ","AT1G04778",NA,NA,"Up","all_Up"
"39","AT1G04980","all",43.5,44.6,45.8,72.2,66.9,67.1,0.242,0.227,0.234,0.341,0.336,0.337,0.234,0.339,0.623,5.83,45.6,0.000127,0.00366,1,"BL-BRZ","PDIL2-2",NA,NA,"Up","all_Up"
"40","AT1G05000","all",6.41,7.41,7.88,11.5,12.5,12.5,0.0527,0.0663,0.0841,0.0771,0.113,0.111,0.0658,0.0967,0.754,3.28,47.2,0.000113,0.00339,1,"BL-BRZ","AT1G05000",NA,NA,"Up","all_Up"
"41","AT1G05310","all",0.405,1.05,1.43,0.118,0.285,0.36,0.00226,0.00541,0.0055,0.000511,0.00219,0.00142,0.00433,0.00126,-1.9,-0.68,52.7,7.58e-05,0.00271,1,"BL-BRZ","PME8",NA,NA,"Down","all_Down"
"42","AT1G05420","all",4.97,5.95,5.67,11.4,11.3,8.09,0.0413,0.0437,0.0474,0.0791,0.0889,0.0683,0.0437,0.0794,0.888,2.98,28.5,0.000634,0.00973,1,"BL-BRZ","ATOFP12","OFP12","ovate family protein 12","Up","all_Up"
"43","AT1G05470","all",1.35,2.06,2.18,3.16,2.87,4.09,0.0145,0.021,0.0242,0.0247,0.0324,0.0415,0.0195,0.0313,0.88,1.4,20.5,0.00179,0.0186,1,"BL-BRZ","IP5P6",NA,NA,"Up","all_Up"
"44","AT1G05650","all",1.89,2.33,1.96,11,12,12.1,0.017,0.0178,0.0181,0.072,0.0702,0.0649,0.0176,0.0697,2.51,2.79,370,3.98e-08,7.85e-05,0.000942,"BL-BRZ","AT1G05650",NA,NA,"Up","all_Up"
