"","gene","cluster_id","sc_111.cpm","sc_113.cpm","sc_112.cpm","sc_114.cpm","sc_111.frq","sc_113.frq","sc_112.frq","sc_114.frq","Control.frq","BRZ.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"1","AT1G01140","Distal Columella",9.2,20.5,4.19,10.5,0.053,0.159,0.0228,0.0877,0.108,0.058,-1.01,3.59,17.7,2.56e-05,0.000668,1,"BRZ-Control","CIPK9",NA,NA,"Down","Distal Columella_Down"
"2","AT1G01260","Distal Columella",17.7,24.7,38.9,30.1,0.102,0.204,0.176,0.221,0.155,0.2,0.639,4.83,13.6,0.000222,0.00426,1,"BRZ-Control","BHLH13","AT1G01260","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","Up","Distal Columella_Up"
"3","AT1G01580","Distal Columella",42.3,55.2,16.8,33.7,0.22,0.341,0.0831,0.232,0.283,0.164,-0.944,5.24,33.7,6.52e-09,3.47e-07,0.00361,"BRZ-Control","FRO2",NA,NA,"Down","Distal Columella_Down"
"4","AT1G02000","Distal Columella",32.7,57.1,58.4,79,0.178,0.369,0.238,0.456,0.277,0.356,0.622,5.87,16,6.2e-05,0.00142,1,"BRZ-Control","GAE2",NA,NA,"Up","Distal Columella_Up"
"5","AT1G02920","Distal Columella",67.8,190,228,402,0.119,0.161,0.256,0.296,0.141,0.278,1.38,7.82,111,8.34e-26,2.85e-23,4.65e-20,"BRZ-Control","GSTF7",NA,NA,"Up","Distal Columella_Up"
"6","AT1G02930","Distal Columella",29.3,77.6,117,215,0.114,0.186,0.254,0.385,0.152,0.325,1.69,6.82,130,4.35e-30,2.35e-27,2.42e-24,"BRZ-Control","GSTF6",NA,NA,"Up","Distal Columella_Up"
"7","AT1G03070","Distal Columella",20.4,45.4,54.5,75.9,0.102,0.275,0.199,0.363,0.191,0.288,1,5.67,39,4.43e-10,2.92e-08,0.000246,"BRZ-Control","LFG4",NA,NA,"Up","Distal Columella_Up"
"8","AT1G03080","Distal Columella",103,93,172,179,0.426,0.535,0.559,0.701,0.483,0.636,0.849,7.11,38.6,5.34e-10,3.47e-08,0.000297,"BRZ-Control","NET1D",NA,NA,"Up","Distal Columella_Up"
"9","AT1G04180","Distal Columella",21.1,21.6,10.5,9.21,0.0932,0.155,0.0326,0.0534,0.125,0.0439,-1.14,3.97,28.4,9.89e-08,4.26e-06,0.0547,"BRZ-Control","YUC9",NA,NA,"Down","Distal Columella_Down"
"10","AT1G04400","Distal Columella",20.1,19,27.2,33.7,0.112,0.145,0.138,0.237,0.129,0.192,0.663,4.7,13.8,0.000205,0.00396,1,"BRZ-Control","CRY2",NA,NA,"Up","Distal Columella_Up"
"11","AT1G05100","Distal Columella",124,111,214,209,0.347,0.488,0.477,0.608,0.421,0.548,0.855,7.37,41.3,1.35e-10,9.47e-09,7.48e-05,"BRZ-Control","MAPKKK18",NA,NA,"Up","Distal Columella_Up"
"12","AT1G05575","Distal Columella",64.8,81.4,247,204,0.169,0.265,0.428,0.436,0.219,0.432,1.61,7.23,134,6.18e-31,3.73e-28,3.45e-25,"BRZ-Control","AT1G05575",NA,NA,"Up","Distal Columella_Up"
"13","AT1G05660","Distal Columella",4.43,47.3,3.59,29.5,0.0275,0.335,0.013,0.218,0.187,0.124,-0.633,4.57,10,0.00156,0.0223,1,"BRZ-Control","AT1G05660",NA,NA,"Down","Distal Columella_Down"
"14","AT1G06330","Distal Columella",48.7,34.7,22.4,27.8,0.208,0.229,0.0993,0.184,0.219,0.145,-0.667,5.06,16.6,4.63e-05,0.0011,1,"BRZ-Control","AT1G06330",NA,NA,"Down","Distal Columella_Down"
"15","AT1G07000","Distal Columella",10.2,15.2,15,23.9,0.0593,0.131,0.0782,0.179,0.0967,0.133,0.614,4.12,8.71,0.00317,0.039,1,"BRZ-Control","ATEXO70B2",NA,NA,"Up","Distal Columella_Up"
"16","AT1G07160","Distal Columella",107,72.1,207,151,0.32,0.386,0.492,0.529,0.354,0.512,1.01,7.07,54,2.11e-13,2.12e-11,1.17e-07,"BRZ-Control","AT1G07160",NA,NA,"Up","Distal Columella_Up"
"17","AT1G07400","Distal Columella",180,331,920,624,0.299,0.52,0.611,0.579,0.413,0.594,1.61,9.01,179,9.35e-41,1.07e-37,5.22e-35,"BRZ-Control","HSP17.8",NA,NA,"Up","Distal Columella_Up"
"18","AT1G07985","Distal Columella",24.5,34.2,59.6,61.3,0.136,0.257,0.254,0.408,0.199,0.338,1.03,5.53,40.8,1.75e-10,1.21e-08,9.7e-05,"BRZ-Control","AT1G07985",NA,NA,"Up","Distal Columella_Up"
"19","AT1G08930","Distal Columella",55.6,76.3,123,156,0.242,0.41,0.422,0.662,0.329,0.552,1.09,6.71,57,4.62e-14,4.84e-12,2.57e-08,"BRZ-Control","ERD6",NA,NA,"Up","Distal Columella_Up"
"20","AT1G08940","Distal Columella",53.8,66.8,116,113,0.239,0.369,0.399,0.527,0.307,0.469,0.923,6.47,39.7,2.97e-10,2e-08,0.000165,"BRZ-Control","AT1G08940",NA,NA,"Up","Distal Columella_Up"
"21","AT1G09940","Distal Columella",39.9,52.4,72.4,85.5,0.212,0.343,0.305,0.477,0.28,0.398,0.774,6,25.4,4.62e-07,1.78e-05,0.255,"BRZ-Control","HEMA2",NA,NA,"Up","Distal Columella_Up"
"22","AT1G10140","Distal Columella",76.3,118,178,154,0.303,0.61,0.459,0.616,0.462,0.545,0.777,7.06,31.6,1.88e-08,9.06e-07,0.0104,"BRZ-Control","AT1G10140",NA,NA,"Up","Distal Columella_Up"
"23","AT1G10200","Distal Columella",30,45.2,18.3,27.5,0.155,0.333,0.0896,0.19,0.247,0.144,-0.717,4.96,18.1,2.12e-05,0.000563,1,"BRZ-Control","WLIM1","WLIM1","GATA type zinc finger transcription factor family protein","Down","Distal Columella_Down"
"24","AT1G10810","Distal Columella",76.3,41,47.3,28.3,0.333,0.286,0.202,0.208,0.309,0.205,-0.614,5.56,15.4,8.58e-05,0.00188,1,"BRZ-Control","AT1G10810",NA,NA,"Down","Distal Columella_Down"
"25","AT1G10990","Distal Columella",11.6,13.3,28.7,28.9,0.0657,0.108,0.135,0.201,0.0876,0.171,1.19,4.43,37.2,1.08e-09,6.78e-08,0.000601,"BRZ-Control","AT1G10990",NA,NA,"Up","Distal Columella_Up"
"26","AT1G11310","Distal Columella",31.7,36.6,58.1,56.8,0.163,0.273,0.241,0.332,0.22,0.29,0.74,5.55,21.8,2.98e-06,9.58e-05,1,"BRZ-Control","MLO2",NA,NA,"Up","Distal Columella_Up"
"27","AT1G11400","Distal Columella",28.6,24.7,46.7,36.4,0.157,0.2,0.207,0.259,0.179,0.235,0.624,5.11,14.5,0.000137,0.0028,1,"BRZ-Control","PYM",NA,NA,"Up","Distal Columella_Up"
"28","AT1G11530","Distal Columella",16,10.8,32.6,28.4,0.0869,0.0843,0.134,0.189,0.0855,0.164,1.22,4.5,40.3,2.19e-10,1.5e-08,0.000121,"BRZ-Control","CXXS1",NA,NA,"Up","Distal Columella_Up"
"29","AT1G12080","Distal Columella",96.4,133,56.9,55.6,0.267,0.467,0.119,0.238,0.371,0.184,-1.03,6.42,48.8,2.92e-12,2.61e-10,1.62e-06,"BRZ-Control","AT1G12080",NA,NA,"Down","Distal Columella_Down"
"30","AT1G12600","Distal Columella",22.5,31.3,9.28,14.7,0.117,0.22,0.0489,0.0973,0.17,0.0751,-1.16,4.32,34.4,4.48e-09,2.47e-07,0.00248,"BRZ-Control","UTR4",NA,NA,"Down","Distal Columella_Down"
"31","AT1G12760","Distal Columella",67.8,136,118,192,0.314,0.663,0.394,0.745,0.495,0.585,0.631,7.03,20.8,5.24e-06,0.00016,1,"BRZ-Control","AT1G12760",NA,NA,"Up","Distal Columella_Up"
"32","AT1G13000","Distal Columella",48.1,57.5,20.9,32.3,0.235,0.333,0.0863,0.222,0.286,0.16,-0.978,5.33,36.9,1.25e-09,7.64e-08,0.000696,"BRZ-Control","AT1G13000",NA,NA,"Down","Distal Columella_Down"
"33","AT1G13210","Distal Columella",70.2,65.7,113,95.1,0.288,0.42,0.394,0.512,0.356,0.458,0.604,6.43,17.3,3.23e-05,0.000809,1,"BRZ-Control","ALA11",NA,NA,"Up","Distal Columella_Up"
"34","AT1G13245","Distal Columella",11.2,39.1,31.1,52.1,0.0593,0.263,0.116,0.256,0.165,0.192,0.75,5.15,20,7.84e-06,0.000233,1,"BRZ-Control","RTFL17",NA,NA,"Up","Distal Columella_Up"
"35","AT1G13360","Distal Columella",172,166,300,251,0.424,0.535,0.498,0.596,0.482,0.551,0.7,7.8,30.1,4.07e-08,1.87e-06,0.0225,"BRZ-Control","AT1G13360",NA,NA,"Up","Distal Columella_Up"
"36","AT1G13930","Distal Columella",168,69.5,91.6,56,0.386,0.341,0.261,0.278,0.363,0.27,-0.598,6.56,17.3,3.17e-05,0.000799,1,"BRZ-Control","AT1G13930",NA,NA,"Down","Distal Columella_Down"
"37","AT1G13970","Distal Columella",13,15.9,8.38,9.21,0.0805,0.12,0.0423,0.0712,0.101,0.058,-0.723,3.59,9.57,0.00198,0.027,1,"BRZ-Control","AT1G13970",NA,NA,"Down","Distal Columella_Down"
"38","AT1G14080","Distal Columella",174,157,88.9,98.7,0.523,0.58,0.277,0.407,0.553,0.347,-0.815,7.02,35.3,2.94e-09,1.68e-07,0.00163,"BRZ-Control","FUT6",NA,NA,"Down","Distal Columella_Down"
"39","AT1G14200","Distal Columella",228,368,485,520,0.633,0.863,0.821,0.921,0.753,0.875,0.786,8.65,43.4,4.51e-11,3.45e-09,2.5e-05,"BRZ-Control","AT1G14200","AT1G14200","RING/U-box superfamily protein","Up","Distal Columella_Up"
"40","AT1G14960","Distal Columella",10.9,41.8,29.6,71.3,0.0593,0.29,0.127,0.452,0.179,0.304,0.973,5.37,33.3,8.03e-09,4.18e-07,0.00445,"BRZ-Control","AT1G14960",NA,NA,"Up","Distal Columella_Up"
"41","AT1G15040","Distal Columella",11.2,23,2.99,13.7,0.0424,0.184,0.0147,0.112,0.116,0.0677,-1.01,3.8,19.5,9.95e-06,0.000288,1,"BRZ-Control","GAT1_2.1",NA,NA,"Down","Distal Columella_Down"
"42","AT1G15520","Distal Columella",111,108,258,213,0.242,0.288,0.404,0.407,0.266,0.406,1.09,7.44,66.6,3.45e-16,4.45e-14,1.92e-10,"BRZ-Control","ABCG40",NA,NA,"Up","Distal Columella_Up"
"43","AT1G16030","Distal Columella",6.48,20.3,68.5,59.2,0.0297,0.122,0.173,0.204,0.0774,0.19,2.17,5.33,151,1.25e-34,9.21e-32,6.96e-29,"BRZ-Control","HSP70-5",NA,NA,"Up","Distal Columella_Up"
"44","AT1G17145","Distal Columella",24.9,29.8,59.6,70.6,0.125,0.214,0.256,0.388,0.171,0.327,1.25,5.58,59.5,1.31e-14,1.47e-12,7.29e-09,"BRZ-Control","DA2L",NA,NA,"Up","Distal Columella_Up"
"45","AT1G17147","Distal Columella",101,222,262,430,0.333,0.604,0.575,0.778,0.474,0.685,1.15,8,81,2.5e-19,5.09e-17,1.39e-13,"BRZ-Control","VQ1",NA,NA,"Up","Distal Columella_Up"
"46","AT1G17190","Distal Columella",3110,3450,5900,4670,0.97,1,0.989,1,0.986,0.995,0.68,12.1,58.3,2.33e-14,2.51e-12,1.3e-08,"BRZ-Control","GSTU26",NA,NA,"Up","Distal Columella_Up"
"47","AT1G17285","Distal Columella",9.88,9.51,18.9,15.8,0.0403,0.0745,0.0798,0.121,0.058,0.102,0.814,3.81,13.2,0.000287,0.0053,1,"BRZ-Control","AT1G17285",NA,NA,"Up","Distal Columella_Up"
"48","AT1G17290","Distal Columella",171,131,285,203,0.593,0.657,0.704,0.753,0.626,0.731,0.685,7.63,28,1.22e-07,5.21e-06,0.0675,"BRZ-Control","ALAAT1",NA,NA,"Up","Distal Columella_Up"
"49","AT1G17420","Distal Columella",20.1,11.6,73.3,43.4,0.0932,0.0706,0.204,0.184,0.0815,0.193,1.88,5.22,117,3.2e-27,1.26e-24,1.78e-21,"BRZ-Control","LOX3",NA,NA,"Up","Distal Columella_Up"
"50","AT1G17580","Distal Columella",35.4,24.1,67,35.6,0.197,0.196,0.27,0.249,0.197,0.259,0.739,5.33,21,4.51e-06,0.000141,1,"BRZ-Control","XI-1",NA,NA,"Up","Distal Columella_Up"
"51","AT1G17890","Distal Columella",243,167,91.3,67.4,0.511,0.473,0.27,0.33,0.491,0.303,-1.36,7.14,97.9,5.02e-23,1.29e-20,2.8e-17,"BRZ-Control","GER2",NA,NA,"Down","Distal Columella_Down"
"52","AT1G18080","Distal Columella",24.9,50.5,50.3,67,0.129,0.343,0.221,0.399,0.24,0.318,0.65,5.64,16.8,4.2e-05,0.00102,1,"BRZ-Control","RACK1A",NA,NA,"Up","Distal Columella_Up"
"53","AT1G18300","Distal Columella",9.88,5.71,37.4,12.2,0.0445,0.049,0.14,0.0822,0.0468,0.109,1.54,3.99,45.8,1.36e-11,1.1e-09,7.54e-06,"BRZ-Control","NUDT4",NA,NA,"Up","Distal Columella_Up"
"54","AT1G18390","Distal Columella",18.1,23.9,29.3,48.1,0.0932,0.178,0.142,0.319,0.137,0.238,0.89,4.98,26.8,2.34e-07,9.55e-06,0.129,"BRZ-Control","AT1G18390",NA,NA,"Up","Distal Columella_Up"
"55","AT1G19020","Distal Columella",2120,1330,4440,2670,0.854,0.91,0.941,0.964,0.883,0.954,1.03,11.4,119,1.4e-27,5.85e-25,7.8e-22,"BRZ-Control","AT1G19020",NA,NA,"Up","Distal Columella_Up"
"56","AT1G19660","Distal Columella",16,12.5,26.6,25.9,0.0911,0.102,0.117,0.188,0.0967,0.156,0.911,4.39,21.9,2.83e-06,9.21e-05,1,"BRZ-Control","BBD2",NA,NA,"Up","Distal Columella_Up"
"57","AT1G20310","Distal Columella",7.5,9.3,33.5,21.2,0.0445,0.0784,0.119,0.137,0.0621,0.129,1.6,4.2,55.9,7.98e-14,8.24e-12,4.44e-08,"BRZ-Control","AT1G20310",NA,NA,"Up","Distal Columella_Up"
"58","AT1G21010","Distal Columella",94.4,38.7,175,71.2,0.343,0.267,0.51,0.393,0.303,0.446,0.887,6.55,37,1.21e-09,7.41e-08,0.000671,"BRZ-Control","AT1G21010",NA,NA,"Up","Distal Columella_Up"
"59","AT1G21130","Distal Columella",65.4,141,109,287,0.138,0.198,0.264,0.43,0.169,0.354,0.898,7.27,42.7,6.66e-11,4.92e-09,3.7e-05,"BRZ-Control","IGMT4",NA,NA,"Up","Distal Columella_Up"
"60","AT1G21340","Distal Columella",182,142,41.6,73.8,0.445,0.435,0.155,0.252,0.44,0.208,-1.48,6.77,104,2.14e-24,6.19e-22,1.19e-18,"BRZ-Control","DOF1.2","AT1G21340","Dof-type zinc finger DNA-binding family protein","Down","Distal Columella_Down"
"61","AT1G21350","Distal Columella",151,131,30.8,49.6,0.343,0.4,0.117,0.189,0.373,0.156,-1.79,6.49,143,8.45e-33,5.26e-30,4.72e-27,"BRZ-Control","AT1G21350",NA,NA,"Down","Distal Columella_Down"
"62","AT1G22170","Distal Columella",25.2,17.3,13.5,13.3,0.144,0.135,0.0668,0.104,0.14,0.0871,-0.613,4.11,9.18,0.00245,0.0319,1,"BRZ-Control","AT1G22170",NA,NA,"Down","Distal Columella_Down"
"63","AT1G22470","Distal Columella",19.4,23.9,15.3,13.7,0.0847,0.196,0.0684,0.115,0.143,0.0938,-0.614,4.2,9.57,0.00198,0.0271,1,"BRZ-Control","AT1G22470",NA,NA,"Down","Distal Columella_Down"
"64","AT1G22530","Distal Columella",52.8,110,27.5,70.1,0.261,0.565,0.124,0.433,0.419,0.292,-0.764,6.06,24.3,8.49e-07,3.1e-05,0.468,"BRZ-Control","PATL2",NA,NA,"Down","Distal Columella_Down"
"65","AT1G22640","Distal Columella",46,33,24.5,25.9,0.218,0.241,0.117,0.188,0.23,0.156,-0.597,5.01,13.1,0.000297,0.00548,1,"BRZ-Control","MYB3","MYB3","myb domain protein 3","Down","Distal Columella_Down"
"66","AT1G22740","Distal Columella",12.6,16.3,7.48,9.52,0.0678,0.137,0.0391,0.0808,0.104,0.0618,-0.764,3.58,10.6,0.00113,0.0171,1,"BRZ-Control","RABG3B",NA,NA,"Down","Distal Columella_Down"
"67","AT1G22780","Distal Columella",68.8,50.7,129,70.9,0.303,0.341,0.435,0.422,0.323,0.428,0.692,6.31,21.9,2.87e-06,9.35e-05,1,"BRZ-Control","RPS18C",NA,NA,"Up","Distal Columella_Up"
"68","AT1G22880","Distal Columella",1040,1370,373,689,0.824,0.894,0.552,0.785,0.86,0.679,-1.23,9.76,126,4.79e-29,2.23e-26,2.67e-23,"BRZ-Control","CEL5",NA,NA,"Down","Distal Columella_Down"
"69","AT1G23440","Distal Columella",358,296,639,436,0.752,0.861,0.793,0.886,0.809,0.844,0.696,8.75,35.1,3.13e-09,1.78e-07,0.00173,"BRZ-Control","AT1G23440",NA,NA,"Up","Distal Columella_Up"
"70","AT1G23710","Distal Columella",126,150,240,197,0.498,0.629,0.598,0.634,0.566,0.618,0.647,7.49,24.2,8.73e-07,3.17e-05,0.482,"BRZ-Control","AT1G23710",NA,NA,"Up","Distal Columella_Up"
"71","AT1G24095","Distal Columella",125,77.1,73.6,49.9,0.428,0.433,0.256,0.304,0.431,0.282,-0.696,6.33,22.6,2.02e-06,6.84e-05,1,"BRZ-Control","AT1G24095",NA,NA,"Down","Distal Columella_Down"
"72","AT1G24120","Distal Columella",15.7,14.8,5.69,10.3,0.089,0.125,0.0309,0.0849,0.108,0.0603,-0.853,3.59,13.2,0.000274,0.00512,1,"BRZ-Control","ATJ16",NA,NA,"Down","Distal Columella_Down"
"73","AT1G25560","Distal Columella",29.3,34.9,65.5,51.8,0.142,0.224,0.239,0.299,0.184,0.272,0.834,5.53,27.5,1.6e-07,6.68e-06,0.0883,"BRZ-Control","TEM1","TEM1","AP2/B3 transcription factor family protein","Up","Distal Columella_Up"
"74","AT1G26820","Distal Columella",27.3,62.1,23.6,27.3,0.053,0.165,0.0456,0.0918,0.111,0.0707,-0.815,5.17,24.6,6.95e-07,2.59e-05,0.383,"BRZ-Control","RNS3",NA,NA,"Down","Distal Columella_Down"
"75","AT1G26945","Distal Columella",6.48,16.9,21.8,29.2,0.0403,0.127,0.101,0.223,0.0855,0.167,1.09,4.33,29.2,6.64e-08,2.93e-06,0.0367,"BRZ-Control","PRE6","KDR","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","Up","Distal Columella_Up"
