"","gene","cluster_id","sc_122.cpm","sc_126.cpm","sc_124.cpm","sc_128.cpm","sc_122.frq","sc_126.frq","sc_124.frq","sc_128.frq","WT.frq","df1.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"1","AT1G02360","Distal Columella",38.3,57.6,82,91.1,0.156,0.233,0.307,0.315,0.193,0.312,0.858,6.07,24.7,6.67e-07,8.12e-05,0.349,"df1-WT","AT1G02360",NA,NA,"Up","Distal Columella_Up"
"2","AT1G03475","Distal Columella",17,21.3,28.2,36.3,0.0969,0.155,0.178,0.273,0.125,0.239,0.752,4.7,12.5,0.000403,0.0164,1,"df1-WT","CPX1",NA,NA,"Up","Distal Columella_Up"
"3","AT1G03850","Distal Columella",35.4,39.2,26.3,12.6,0.183,0.223,0.173,0.0967,0.202,0.124,-1.06,4.88,24.6,7.3e-07,8.73e-05,0.382,"df1-WT","AT1G03850",NA,NA,"Down","Distal Columella_Down"
"4","AT1G03870","Distal Columella",163,100,53.3,94.8,0.469,0.484,0.292,0.34,0.476,0.323,-0.77,6.72,21.2,4.08e-06,0.000369,1,"df1-WT","FLA9",NA,NA,"Down","Distal Columella_Down"
"5","AT1G05060","Distal Columella",20.4,30.7,47.1,48.3,0.101,0.169,0.198,0.26,0.133,0.238,0.889,5.19,20.8,5.23e-06,0.000451,1,"df1-WT","AT1G05060",NA,NA,"Up","Distal Columella_Up"
"6","AT1G05260","Distal Columella",45.8,40.6,20.8,10.9,0.151,0.167,0.153,0.0663,0.158,0.0975,-1.54,4.96,49.7,1.9e-12,8.6e-10,9.94e-07,"df1-WT","PER3",NA,NA,"Down","Distal Columella_Down"
"7","AT1G05340","Distal Columella",87.5,83.2,56.3,35.7,0.404,0.432,0.361,0.254,0.418,0.293,-0.942,6.07,28.6,9.01e-08,1.42e-05,0.0471,"df1-WT","AT1G05340",NA,NA,"Down","Distal Columella_Down"
"8","AT1G05575","Distal Columella",47.2,82.7,108,104,0.144,0.211,0.282,0.285,0.176,0.284,0.722,6.41,18.8,1.45e-05,0.00106,1,"df1-WT","AT1G05575",NA,NA,"Up","Distal Columella_Up"
"9","AT1G05870","Distal Columella",22.7,27.6,11,12.9,0.115,0.174,0.0842,0.105,0.144,0.0975,-1.08,4.33,19.7,9.14e-06,0.000715,1,"df1-WT","AT1G05870",NA,NA,"Down","Distal Columella_Down"
"10","AT1G06080","Distal Columella",10.7,15.2,69.2,53.4,0.0503,0.0853,0.366,0.279,0.0671,0.31,2.2,5.13,113,2.52e-26,5.45e-23,1.32e-20,"df1-WT","ADS1",NA,NA,"Up","Distal Columella_Up"
"11","AT1G06620","Distal Columella",130,136,201,212,0.487,0.523,0.708,0.655,0.504,0.674,0.638,7.41,16.9,4.01e-05,0.0024,1,"df1-WT","AT1G06620",NA,NA,"Up","Distal Columella_Up"
"12","AT1G06640","Distal Columella",28.5,23.5,18.4,12.9,0.162,0.169,0.144,0.108,0.165,0.121,-0.76,4.44,10.8,0.001,0.0334,1,"df1-WT","AT1G06640",NA,NA,"Down","Distal Columella_Down"
"13","AT1G07135","Distal Columella",74,60.2,88.2,138,0.178,0.159,0.277,0.24,0.169,0.254,0.758,6.5,20.8,5.18e-06,0.00045,1,"df1-WT","AT1G07135",NA,NA,"Up","Distal Columella_Up"
"14","AT1G07400","Distal Columella",47.8,34.4,8.57,40.6,0.126,0.13,0.0446,0.124,0.128,0.0957,-0.673,5.14,10.7,0.00105,0.0348,1,"df1-WT","HSP17.8",NA,NA,"Down","Distal Columella_Down"
"15","AT1G07750","Distal Columella",62.2,54.7,31.2,25.7,0.309,0.337,0.208,0.224,0.322,0.218,-1.04,5.49,29.5,5.76e-08,9.44e-06,0.0302,"df1-WT","AT1G07750",NA,NA,"Down","Distal Columella_Down"
"16","AT1G08500","Distal Columella",28.5,19.4,10.4,14,0.151,0.141,0.0792,0.119,0.146,0.105,-0.865,4.28,12.7,0.000365,0.0151,1,"df1-WT","ENODL18",NA,NA,"Down","Distal Columella_Down"
"17","AT1G10200","Distal Columella",40.6,41.4,25.7,22,0.214,0.283,0.188,0.177,0.247,0.181,-0.799,5.08,15.4,8.6e-05,0.00441,1,"df1-WT","WLIM1","WLIM1","GATA type zinc finger transcription factor family protein","Down","Distal Columella_Down"
"18","AT1G10530","Distal Columella",32.2,55.2,24.5,27.4,0.149,0.217,0.153,0.196,0.182,0.181,-0.762,5.19,14.3,0.000153,0.00728,1,"df1-WT","AT1G10530",NA,NA,"Down","Distal Columella_Down"
"19","AT1G10990","Distal Columella",11.2,19.1,25.7,29.1,0.061,0.13,0.163,0.21,0.0941,0.193,0.839,4.42,13.8,0.000204,0.00947,1,"df1-WT","AT1G10990",NA,NA,"Up","Distal Columella_Up"
"20","AT1G11670","Distal Columella",187,113,252,279,0.488,0.397,0.624,0.583,0.445,0.598,0.873,7.69,31.5,2.07e-08,4.05e-06,0.0108,"df1-WT","DTX36",NA,NA,"Up","Distal Columella_Up"
"21","AT1G11960","Distal Columella",32.2,23.5,37.3,48.3,0.174,0.157,0.238,0.329,0.166,0.296,0.664,5.15,11.5,0.000711,0.0257,1,"df1-WT","AT1G11960",NA,NA,"Up","Distal Columella_Up"
"22","AT1G12090","Distal Columella",198,143,89.4,94,0.575,0.585,0.48,0.459,0.58,0.466,-0.862,7.06,28.7,8.41e-08,1.33e-05,0.044,"df1-WT","ELP",NA,NA,"Down","Distal Columella_Down"
"23","AT1G12560","Distal Columella",12.1,20.3,13.5,5.71,0.061,0.143,0.099,0.0525,0.101,0.0691,-0.94,3.77,11,0.000926,0.0316,1,"df1-WT","EXPA7",NA,NA,"Down","Distal Columella_Down"
"24","AT1G12610","Distal Columella",41.2,20.3,42.9,102,0.115,0.0853,0.149,0.207,0.101,0.186,1.28,5.71,45.5,1.58e-11,6.04e-09,8.29e-06,"df1-WT","DREB1F","DDF1","Integrase-type DNA-binding superfamily protein","Up","Distal Columella_Up"
"25","AT1G12740","Distal Columella",398,328,642,546,0.776,0.754,0.936,0.865,0.765,0.89,0.713,8.9,22.3,2.36e-06,0.000235,1,"df1-WT","CYP87A2",NA,NA,"Up","Distal Columella_Up"
"26","AT1G13930","Distal Columella",173,99.4,61.2,57.4,0.607,0.496,0.356,0.403,0.554,0.387,-1.13,6.64,45,1.98e-11,7.41e-09,1.04e-05,"df1-WT","AT1G13930",NA,NA,"Down","Distal Columella_Down"
"27","AT1G17340","Distal Columella",44.3,41.6,71,78.3,0.226,0.26,0.351,0.414,0.242,0.392,0.804,5.87,20.8,5.11e-06,0.000448,1,"df1-WT","SAC5",NA,NA,"Up","Distal Columella_Up"
"28","AT1G17380","Distal Columella",8.06,3.87,11.6,17.4,0.0413,0.0291,0.0743,0.122,0.0354,0.105,1.39,3.4,20.5,5.87e-06,0.000499,1,"df1-WT","TIFY11A","JAZ5","jasmonate-zim-domain protein 5","Up","Distal Columella_Up"
"29","AT1G18740","Distal Columella",54.7,30.5,60,82.6,0.228,0.18,0.257,0.298,0.205,0.284,0.818,5.84,20.8,5.19e-06,0.00045,1,"df1-WT","AT1G18740",NA,NA,"Up","Distal Columella_Up"
"30","AT1G20010","Distal Columella",38,27.6,17.8,14,0.192,0.194,0.134,0.124,0.193,0.128,-1.03,4.68,21.4,3.71e-06,0.000337,1,"df1-WT","TUBB5",NA,NA,"Down","Distal Columella_Down"
"31","AT1G21130","Distal Columella",14.4,44.8,33.1,117,0.0521,0.14,0.114,0.262,0.0941,0.209,1.32,5.75,47.4,5.91e-12,2.5e-09,3.1e-06,"df1-WT","IGMT4",NA,NA,"Up","Distal Columella_Up"
"32","AT1G21310","Distal Columella",160,98.2,49.6,84.8,0.465,0.434,0.327,0.356,0.45,0.346,-0.873,6.65,27,2.09e-07,2.91e-05,0.109,"df1-WT","EXT3",NA,NA,"Down","Distal Columella_Down"
"33","AT1G22470","Distal Columella",34.5,38.5,19.6,18.3,0.189,0.248,0.144,0.146,0.217,0.145,-0.965,4.87,20.4,6.25e-06,0.000518,1,"df1-WT","AT1G22470",NA,NA,"Down","Distal Columella_Down"
"34","AT1G22510","Distal Columella",9.79,5.32,12.9,14.6,0.0575,0.0407,0.104,0.127,0.0494,0.119,0.951,3.44,10.2,0.00142,0.0439,1,"df1-WT","AT1G22510",NA,NA,"Up","Distal Columella_Up"
"35","AT1G22530","Distal Columella",129,94.1,78.4,55.1,0.522,0.496,0.446,0.359,0.51,0.39,-0.744,6.5,20,7.84e-06,0.000628,1,"df1-WT","PATL2",NA,NA,"Down","Distal Columella_Down"
"36","AT1G23160","Distal Columella",61,36.8,72.2,74.8,0.257,0.196,0.327,0.315,0.227,0.319,0.648,5.93,13.7,0.000215,0.00991,1,"df1-WT","AT1G23160",NA,NA,"Up","Distal Columella_Up"
"37","AT1G23710","Distal Columella",141,122,256,222,0.483,0.521,0.728,0.669,0.501,0.69,0.86,7.52,30.7,2.98e-08,5.41e-06,0.0156,"df1-WT","AT1G23710",NA,NA,"Up","Distal Columella_Up"
