"","gene","cluster_id","sc_122.cpm","sc_126.cpm","sc_123.cpm","sc_127.cpm","sc_122.frq","sc_126.frq","sc_123.frq","sc_127.frq","WT.frq","gtl1.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"1","AT1G01470","Distal Columella",3150,3230,1790,1650,0.966,0.926,0.866,0.836,0.947,0.852,-0.89,11.3,28.7,8.68e-08,4.75e-05,0.0455,"gtl1-WT","LEA14",NA,NA,"Down","Distal Columella_Down"
"2","AT1G05680","Distal Columella",735,812,509,497,0.587,0.55,0.51,0.46,0.569,0.485,-0.619,9.32,13.9,0.000198,0.03,1,"gtl1-WT","UGT74E2",NA,NA,"Down","Distal Columella_Down"
"3","AT1G06080","Distal Columella",11.1,15.8,43.1,46.5,0.0503,0.0853,0.19,0.2,0.0671,0.195,1.74,4.89,66.9,2.97e-16,1.15e-12,1.57e-10,"gtl1-WT","ADS1",NA,NA,"Up","Distal Columella_Up"
"4","AT1G12560","Distal Columella",12.6,21.1,29.4,27.9,0.061,0.143,0.157,0.147,0.101,0.152,0.781,4.55,13.4,0.000255,0.0354,1,"gtl1-WT","EXPA7",NA,NA,"Up","Distal Columella_Up"
"5","AT1G14960","Distal Columella",48.8,56.7,84.4,79.9,0.244,0.343,0.423,0.373,0.292,0.399,0.64,6.09,12.8,0.000353,0.0437,1,"gtl1-WT","AT1G14960",NA,NA,"Up","Distal Columella_Up"
"6","AT1G15380","Distal Columella",15.6,52.7,57.3,46.5,0.0664,0.149,0.199,0.173,0.106,0.187,0.729,5.45,13.9,0.000195,0.0298,1,"gtl1-WT","AT1G15380",NA,NA,"Up","Distal Columella_Up"
"7","AT1G19840","Distal Columella",10.5,10.8,23,17.8,0.061,0.0775,0.136,0.102,0.069,0.119,0.926,4.01,15.4,8.5e-05,0.015,1,"gtl1-WT","AT1G19840",NA,NA,"Up","Distal Columella_Up"
"8","AT1G23720","Distal Columella",41,53.7,81,82.4,0.203,0.293,0.349,0.339,0.246,0.344,0.794,6.02,19.3,1.13e-05,0.00293,1,"gtl1-WT","AT1G23720",NA,NA,"Up","Distal Columella_Up"
"9","AT1G30135","Distal Columella",102,39.4,92.1,125,0.255,0.169,0.265,0.271,0.213,0.268,0.725,6.49,16.3,5.47e-05,0.0107,1,"gtl1-WT","TIFY5A","JAZ8","jasmonate-zim-domain protein 8","Up","Distal Columella_Up"
"10","AT1G32010","Distal Columella",0,0,81,0,0,0,0.409,0,0,0.211,10.1,4.43,226,7.69e-51,1.51e-46,4.05e-45,"gtl1-WT","AT1G32010",NA,NA,"Up","Distal Columella_Up"
"11","AT1G33800","Distal Columella",32.6,22.3,51.9,38,0.172,0.149,0.27,0.198,0.161,0.235,0.714,5.2,13.3,0.000268,0.0359,1,"gtl1-WT","GXM3",NA,NA,"Up","Distal Columella_Up"
"12","AT1G35140","Distal Columella",27.8,52.4,15.5,9.49,0.0934,0.163,0.0688,0.049,0.127,0.0592,-1.62,4.77,55.2,1.15e-13,2.82e-10,6.03e-08,"gtl1-WT","EXL1",NA,NA,"Down","Distal Columella_Down"
"13","AT1G53060","Distal Columella",40.7,40.7,65,66.1,0.118,0.14,0.189,0.186,0.129,0.188,0.689,5.75,13.9,0.00019,0.0293,1,"gtl1-WT","AT1G53060",NA,NA,"Up","Distal Columella_Up"
"14","AT1G54000","Distal Columella",423,353,525,677,0.657,0.572,0.727,0.725,0.616,0.726,0.626,8.95,14,0.000184,0.0285,1,"gtl1-WT","GLL22",NA,NA,"Up","Distal Columella_Up"
"15","AT1G55240","Distal Columella",11.7,30.4,30.2,37,0.0503,0.112,0.106,0.126,0.0801,0.116,0.743,4.8,12.9,0.00033,0.0416,1,"gtl1-WT","AT1G55240",NA,NA,"Up","Distal Columella_Up"
"16","AT1G61740","Distal Columella",11.7,11.8,22.2,19.9,0.0628,0.0775,0.118,0.0998,0.0699,0.109,0.839,4.08,13.2,0.000283,0.0372,1,"gtl1-WT","AT1G61740",NA,NA,"Up","Distal Columella_Up"
"17","AT1G66200","Distal Columella",29.3,25.8,83.9,88.8,0.153,0.165,0.413,0.394,0.158,0.403,1.65,5.84,75.4,4.23e-18,2.78e-14,2.23e-12,"gtl1-WT","ATGSR2",NA,NA,"Up","Distal Columella_Up"
"18","AT1G67920","Distal Columella",57.8,53.7,98.3,76.8,0.235,0.227,0.344,0.266,0.231,0.306,0.643,6.17,13.1,0.000304,0.0391,1,"gtl1-WT","AT1G67920",NA,NA,"Up","Distal Columella_Up"
"19","AT1G71380","Distal Columella",40.7,86.6,33.8,39.2,0.0862,0.194,0.0988,0.0923,0.138,0.0956,-0.73,5.67,15,0.00011,0.0183,1,"gtl1-WT","CEL3",NA,NA,"Down","Distal Columella_Down"
"20","AT1G72140","Distal Columella",39.2,25.8,74.8,62.8,0.169,0.136,0.293,0.235,0.153,0.265,1.1,5.68,34,5.69e-09,4.31e-06,0.00299,"gtl1-WT","NPF5.12",NA,NA,"Up","Distal Columella_Up"
"21","AT1G74930","Distal Columella",25.1,13.6,35.1,40.4,0.111,0.0853,0.173,0.147,0.0988,0.16,0.997,4.85,23.5,1.29e-06,0.000417,0.675,"gtl1-WT","ERF018","ORA47","Integrase-type DNA-binding superfamily protein","Up","Distal Columella_Up"
"22","AT1G75600","Distal Columella",100,191,86.4,75.9,0.224,0.302,0.222,0.181,0.262,0.202,-0.777,6.84,19.7,9.29e-06,0.00251,1,"gtl1-WT","AT1G75600",NA,NA,"Down","Distal Columella_Down"
"23","AT1G79040","Distal Columella",26,11.5,8.26,10.4,0.145,0.0833,0.0547,0.0527,0.116,0.0537,-0.967,3.85,15.3,9.41e-05,0.0163,1,"gtl1-WT","PSBR",NA,NA,"Down","Distal Columella_Down"
"24","AT5G02550","Distal Columella",23.6,20.8,42.1,35.8,0.117,0.126,0.201,0.168,0.121,0.185,0.806,4.96,16.1,6.12e-05,0.0115,1,"gtl1-WT","AT5G02550",NA,NA,"Up","Distal Columella_Up"
"25","AT5G04120","Distal Columella",76.3,76,42.8,39.8,0.339,0.415,0.236,0.213,0.376,0.225,-0.882,5.89,23.2,1.49e-06,0.000473,0.778,"gtl1-WT","IPSP",NA,NA,"Down","Distal Columella_Down"
"26","AT5G05500","Distal Columella",16.5,17.6,56,39.5,0.0844,0.112,0.252,0.186,0.0979,0.22,1.47,5.04,50.8,1.04e-12,2.04e-09,5.46e-07,"gtl1-WT","AT5G05500",NA,NA,"Up","Distal Columella_Up"
"27","AT5G06760","Distal Columella",41.6,43.4,17.8,14.4,0.194,0.221,0.106,0.081,0.207,0.0938,-1.4,4.91,45.1,1.96e-11,2.98e-08,1.03e-05,"gtl1-WT","LEA46",NA,NA,"Down","Distal Columella_Down"
"28","AT5G11670","Distal Columella",73.6,65,101,113,0.298,0.343,0.434,0.426,0.32,0.43,0.628,6.47,12.9,0.000328,0.0416,1,"gtl1-WT","NADP-ME2",NA,NA,"Up","Distal Columella_Up"
"29","AT5G13220","Distal Columella",107,61,152,170,0.379,0.32,0.522,0.505,0.35,0.514,0.981,6.94,31.7,1.8e-08,1.25e-05,0.00943,"gtl1-WT","JAZ10","JAZ10","jasmonate-zim-domain protein 10","Up","Distal Columella_Up"
"30","AT5G14700","Distal Columella",77.8,55.2,145,133,0.309,0.273,0.448,0.395,0.292,0.423,1.08,6.69,38,7.21e-10,7.89e-07,0.000379,"gtl1-WT","AT5G14700",NA,NA,"Up","Distal Columella_Up"
"31","AT5G15950","Distal Columella",20.1,36.1,10.1,10.7,0.0916,0.165,0.0547,0.0546,0.127,0.0546,-1.39,4.32,36.7,1.43e-09,1.34e-06,0.000749,"gtl1-WT","SAMDC2",NA,NA,"Down","Distal Columella_Down"
"32","AT5G15960","Distal Columella",82.3,16.6,19.1,18.7,0.178,0.109,0.0829,0.0697,0.144,0.0765,-1.15,5.1,29.6,5.38e-08,3.12e-05,0.0282,"gtl1-WT","KIN1",NA,NA,"Down","Distal Columella_Down"
"33","AT5G24600","Distal Columella",26.3,31.4,18.8,14.4,0.122,0.153,0.0917,0.0734,0.137,0.0829,-0.792,4.55,13.8,0.000206,0.0305,1,"gtl1-WT","AT5G24600",NA,NA,"Down","Distal Columella_Down"
"34","AT5G39050","Distal Columella",463,727,353,381,0.81,0.891,0.741,0.736,0.849,0.739,-0.662,8.91,15.7,7.53e-05,0.0137,1,"gtl1-WT","PMAT1",NA,NA,"Down","Distal Columella_Down"
"35","AT5G42380","Distal Columella",140,98.4,239,185,0.35,0.295,0.42,0.362,0.323,0.392,0.841,7.38,24.4,7.81e-07,0.000262,0.409,"gtl1-WT","CML37",NA,NA,"Up","Distal Columella_Up"
"36","AT5G43650","Distal Columella",44.6,26.3,51.9,71,0.171,0.112,0.194,0.245,0.143,0.219,0.811,5.61,18.4,1.81e-05,0.00424,1,"gtl1-WT","BHLH92","BHLH92","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","Up","Distal Columella_Up"
"37","AT5G47060","Distal Columella",82.9,107,56.5,63.4,0.287,0.349,0.259,0.239,0.317,0.25,-0.655,6.29,13.7,0.000214,0.0307,1,"gtl1-WT","AT5G47060",NA,NA,"Down","Distal Columella_Down"
"38","AT5G47450","Distal Columella",86.5,57.5,45.9,34,0.291,0.291,0.185,0.156,0.291,0.171,-0.839,5.82,20.6,5.6e-06,0.00155,1,"gtl1-WT","TIP2-3",NA,NA,"Down","Distal Columella_Down"
"39","AT5G52310","Distal Columella",30.5,31.6,17.5,18.1,0.154,0.209,0.113,0.105,0.181,0.109,-0.802,4.65,14.6,0.000135,0.0218,1,"gtl1-WT","RD29A",NA,NA,"Down","Distal Columella_Down"
"40","AT5G53420","Distal Columella",67.9,50.4,32.5,34,0.248,0.196,0.129,0.134,0.223,0.131,-0.821,5.55,18.8,1.45e-05,0.00352,1,"gtl1-WT","AT5G53420","AT5G53420","CCT motif family protein","Down","Distal Columella_Down"
"41","AT5G54170","Distal Columella",110,50.9,134,138,0.325,0.219,0.407,0.352,0.274,0.381,0.841,6.76,23,1.66e-06,0.00051,0.867,"gtl1-WT","AT5G54170",NA,NA,"Up","Distal Columella_Up"
"42","AT5G57625","Distal Columella",23.6,26.3,54.4,46.2,0.12,0.165,0.261,0.239,0.142,0.25,1,5.26,26.2,3.06e-07,0.00014,0.16,"gtl1-WT","AT5G57625",NA,NA,"Up","Distal Columella_Up"
"43","AT5G59030","Distal Columella",39.5,40.4,26.1,19.9,0.189,0.219,0.129,0.096,0.203,0.113,-0.801,5.01,16,6.44e-05,0.012,1,"gtl1-WT","COPT1",NA,NA,"Down","Distal Columella_Down"
"44","AT5G64810","Distal Columella",74.5,82.1,45.2,55.1,0.268,0.3,0.189,0.186,0.283,0.188,-0.647,6.02,12.9,0.000332,0.0416,1,"gtl1-WT","WRKY51","WRKY51","WRKY DNA-binding protein 51","Down","Distal Columella_Down"
"45","AT5G65640","Distal Columella",21.5,9.79,25,28.2,0.11,0.0601,0.122,0.126,0.0857,0.124,0.81,4.43,13.8,0.000201,0.03,1,"gtl1-WT","BHLH93","bHLH093","beta HLH protein 93","Up","Distal Columella_Up"
"46","AT5G65690","Distal Columella",76,54.7,143,77.5,0.253,0.258,0.413,0.32,0.255,0.368,0.718,6.47,16.6,4.66e-05,0.00945,1,"gtl1-WT","PCK2",NA,NA,"Up","Distal Columella_Up"
"47","AT5G66170","Distal Columella",39.5,31.4,49.3,65.8,0.18,0.186,0.257,0.282,0.183,0.27,0.696,5.55,13.6,0.000227,0.0321,1,"gtl1-WT","STR18",NA,NA,"Up","Distal Columella_Up"
"48","AT3G01190","Distal Columella",65.2,47.7,114,94,0.296,0.298,0.467,0.392,0.297,0.431,0.887,6.33,25.1,5.56e-07,0.00021,0.291,"gtl1-WT","PER27",NA,NA,"Up","Distal Columella_Up"
"49","AT3G02480","Distal Columella",239,293,134,132,0.434,0.475,0.36,0.337,0.454,0.349,-0.997,7.64,34.4,4.48e-09,3.53e-06,0.00235,"gtl1-WT","AT3G02480",NA,NA,"Down","Distal Columella_Down"
"50","AT3G11930","Distal Columella",43.4,17.3,10.6,16.2,0.133,0.116,0.0617,0.0885,0.125,0.0747,-1.11,4.47,25.2,5.32e-07,0.00021,0.279,"gtl1-WT","AT3G11930",NA,NA,"Down","Distal Columella_Down"
"51","AT3G13610","Distal Columella",7.18,6.27,19.4,14.7,0.0431,0.0484,0.118,0.081,0.0457,0.1,1.33,3.64,25.1,5.54e-07,0.00021,0.29,"gtl1-WT","F6'H1",NA,NA,"Up","Distal Columella_Up"
"52","AT3G14690","Distal Columella",68.5,76.5,34.8,39.5,0.237,0.26,0.139,0.154,0.248,0.147,-0.965,5.79,27.1,1.98e-07,0.000103,0.104,"gtl1-WT","CYP72A15",NA,NA,"Down","Distal Columella_Down"
"53","AT3G15450","Distal Columella",221,327,576,552,0.549,0.731,0.891,0.906,0.637,0.898,1.07,8.71,39.9,2.75e-10,3.18e-07,0.000144,"gtl1-WT","AT3G15450",NA,NA,"Up","Distal Columella_Up"
"54","AT3G16390","Distal Columella",32.6,25.1,68.6,53.3,0.178,0.169,0.358,0.269,0.173,0.315,1.08,5.51,31.7,1.84e-08,1.25e-05,0.00964,"gtl1-WT","NSP3",NA,NA,"Up","Distal Columella_Up"
"55","AT3G18560","Distal Columella",9.28,9.79,21.7,22.4,0.0539,0.0659,0.131,0.126,0.0596,0.128,1.2,4.03,25.7,3.93e-07,0.000165,0.206,"gtl1-WT","AT3G18560",NA,NA,"Up","Distal Columella_Up"
"56","AT3G20660","Distal Columella",18.9,17.3,37.9,38.6,0.0952,0.103,0.182,0.177,0.0988,0.179,1.08,4.84,27.5,1.59e-07,8.46e-05,0.0834,"gtl1-WT","OCT4",NA,NA,"Up","Distal Columella_Up"
"57","AT3G22060","Distal Columella",55.4,104,122,118,0.25,0.424,0.444,0.405,0.334,0.425,0.641,6.65,13.4,0.000254,0.0354,1,"gtl1-WT","CRRSP38",NA,NA,"Up","Distal Columella_Up"
"58","AT3G29035","Distal Columella",79.3,119,57,48.1,0.307,0.391,0.24,0.2,0.348,0.22,-0.891,6.26,24.7,6.76e-07,0.000238,0.354,"gtl1-WT","NAC59","NAC3","NAC domain containing protein 3","Down","Distal Columella_Down"
"59","AT3G47340","Distal Columella",30.5,45.4,97.5,93.4,0.126,0.165,0.312,0.309,0.144,0.311,1.34,6.07,53.3,2.92e-13,6.39e-10,1.54e-07,"gtl1-WT","ASN1",NA,NA,"Up","Distal Columella_Up"
"60","AT3G47380","Distal Columella",149,156,225,237,0.445,0.494,0.559,0.539,0.469,0.549,0.601,7.59,12.7,0.000364,0.0448,1,"gtl1-WT","PMEI11",NA,NA,"Up","Distal Columella_Up"
"61","AT3G48180","Distal Columella",20.1,25.8,44.6,37.4,0.111,0.163,0.229,0.186,0.136,0.209,0.834,5.03,17.4,3.09e-05,0.00668,1,"gtl1-WT","AT3G48180",NA,NA,"Up","Distal Columella_Up"
"62","AT3G49780","Distal Columella",82.9,43.2,136,95.2,0.338,0.254,0.46,0.407,0.297,0.434,0.915,6.49,26.9,2.19e-07,0.000108,0.115,"gtl1-WT","PSK3",NA,NA,"Up","Distal Columella_Up"
"63","AT3G51660","Distal Columella",59.3,47.7,105,122,0.221,0.225,0.347,0.322,0.223,0.335,1.08,6.39,37.1,1.12e-09,1.1e-06,0.000589,"gtl1-WT","AT3G51660",NA,NA,"Up","Distal Columella_Up"
"64","AT3G53600","Distal Columella",58.7,45.7,83.3,81.1,0.253,0.246,0.358,0.326,0.25,0.342,0.665,6.08,13.8,0.000208,0.0306,1,"gtl1-WT","AT3G53600","AT3G53600","C2H2-type zinc finger family protein","Up","Distal Columella_Up"
"65","AT3G55720","Distal Columella",113,151,209,207,0.361,0.417,0.54,0.471,0.388,0.506,0.67,7.41,15.6,7.87e-05,0.0142,1,"gtl1-WT","AT3G55720",NA,NA,"Up","Distal Columella_Up"
"66","AT3G56210","Distal Columella",18.6,20.6,32.8,39.2,0.101,0.141,0.192,0.192,0.12,0.192,0.876,4.82,18.2,1.96e-05,0.00454,1,"gtl1-WT","AT3G56210",NA,NA,"Up","Distal Columella_Up"
"67","AT3G59480","Distal Columella",343,616,879,677,0.643,0.767,0.845,0.797,0.703,0.821,0.744,9.3,19.2,1.19e-05,0.00297,1,"gtl1-WT","AT3G59480",NA,NA,"Up","Distal Columella_Up"
"68","AT3G62010","Distal Columella",88.6,81.6,118,146,0.373,0.434,0.478,0.529,0.403,0.503,0.628,6.77,13.2,0.000278,0.0368,1,"gtl1-WT","AT3G62010",NA,NA,"Up","Distal Columella_Up"
"69","AT2G06850","Distal Columella",47,29.4,19.6,20.8,0.187,0.176,0.113,0.113,0.182,0.113,-0.895,4.89,19.2,1.21e-05,0.00297,1,"gtl1-WT","XTH4",NA,NA,"Down","Distal Columella_Down"
"70","AT2G22760","Distal Columella",30.5,8.53,34.8,56.9,0.117,0.0543,0.125,0.177,0.0867,0.15,1.32,5.04,40.2,2.36e-10,2.91e-07,0.000124,"gtl1-WT","BHLH19","AT2G22760","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","Up","Distal Columella_Up"
"71","AT2G28400","Distal Columella",80.5,103,124,156,0.352,0.481,0.453,0.49,0.414,0.471,0.611,6.86,12.6,0.00038,0.0464,1,"gtl1-WT","AT2G28400",NA,NA,"Up","Distal Columella_Up"
"72","AT2G29500","Distal Columella",66.7,69.8,136,84.8,0.253,0.285,0.383,0.264,0.268,0.325,0.66,6.49,14.1,0.000173,0.0273,1,"gtl1-WT","HSP17.6B",NA,NA,"Up","Distal Columella_Up"
"73","AT2G30950","Distal Columella",70.3,95.1,49.3,52.4,0.343,0.461,0.268,0.252,0.4,0.26,-0.689,6.08,14.7,0.000128,0.0208,1,"gtl1-WT","VAR2",NA,NA,"Down","Distal Columella_Down"
"74","AT2G33830","Distal Columella",103,377,387,309,0.181,0.302,0.418,0.371,0.24,0.395,0.78,8.2,19.2,1.16e-05,0.00293,1,"gtl1-WT","DRMH1",NA,NA,"Up","Distal Columella_Up"
"75","AT2G34880","Distal Columella",0,99.6,77.9,100,0,0.535,0.404,0.469,0.257,0.435,1.56,6.14,59.1,1.59e-14,4.47e-11,8.36e-09,"gtl1-WT","JMJ15","MEE27","Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein","Up","Distal Columella_Up"
"76","AT2G37180","Distal Columella",39.5,21.6,19.1,15.6,0.124,0.12,0.0864,0.0772,0.122,0.082,-0.787,4.61,13.7,0.000212,0.0307,1,"gtl1-WT","PIP2-3",NA,NA,"Down","Distal Columella_Down"
"77","AT2G39530","Distal Columella",28.1,38.1,81,55.4,0.117,0.169,0.33,0.22,0.142,0.277,1.02,5.68,29.4,6.05e-08,3.41e-05,0.0318,"gtl1-WT","AT2G39530",NA,NA,"Up","Distal Columella_Up"
"78","AT2G43000","Distal Columella",91.9,247,320,346,0.239,0.374,0.476,0.433,0.304,0.455,1.12,7.98,42.1,8.85e-11,1.24e-07,4.65e-05,"gtl1-WT","JUB1","NAC042","NAC domain containing protein 42","Up","Distal Columella_Up"
"79","AT2G46950","Distal Columella",67.3,114,34.3,50.2,0.284,0.395,0.145,0.209,0.337,0.176,-1.08,6.07,34.9,3.45e-09,2.95e-06,0.00181,"gtl1-WT","CYP709B2",NA,NA,"Down","Distal Columella_Down"
"80","AT2G47540","Distal Columella",10.2,15.6,25.8,23.3,0.0575,0.101,0.143,0.128,0.0783,0.136,0.933,4.27,17.3,3.22e-05,0.00689,1,"gtl1-WT","AT2G47540",NA,NA,"Up","Distal Columella_Up"
"81","AT4G02270","Distal Columella",45.5,54.7,106,82.7,0.224,0.316,0.46,0.392,0.268,0.427,0.902,6.18,25.2,5.13e-07,0.000206,0.269,"gtl1-WT","RHS13",NA,NA,"Up","Distal Columella_Up"
"82","AT4G04840","Distal Columella",127,134,232,220,0.284,0.248,0.337,0.322,0.267,0.33,0.793,7.48,21.9,2.92e-06,0.000833,1,"gtl1-WT","MSRB6",NA,NA,"Up","Distal Columella_Up"
"83","AT4G09990","Distal Columella",20.1,23.3,52.4,35.8,0.111,0.163,0.279,0.198,0.136,0.24,1,5.07,24.8,6.27e-07,0.000229,0.328,"gtl1-WT","GXM2",NA,NA,"Up","Distal Columella_Up"
"84","AT4G14680","Distal Columella",16.8,11,31.5,31.2,0.0718,0.0543,0.106,0.126,0.0634,0.116,1.19,4.53,30,4.37e-08,2.61e-05,0.0229,"gtl1-WT","APS3",NA,NA,"Up","Distal Columella_Up"
"85","AT4G15280","Distal Columella",57.5,35.1,76.4,75.3,0.251,0.196,0.303,0.277,0.225,0.291,0.743,5.94,16.6,4.52e-05,0.00928,1,"gtl1-WT","UGT71B5",NA,NA,"Up","Distal Columella_Up"
"86","AT4G15400","Distal Columella",9.88,12,25.3,28.8,0.0485,0.0736,0.132,0.153,0.0606,0.142,1.3,4.28,32.7,1.08e-08,7.91e-06,0.00569,"gtl1-WT","BIA1",NA,NA,"Up","Distal Columella_Up"
